-6,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,Original,Mix98MinCPU60,Mix98MinCPU60,,3783,-10789,14572,0.75
204,63.62580664,74.62179201,91.53513824,2,14,11,47.6,51.16,57.88,6.48E-01,0.1079525824,1.60E-01,4,3,3,-2,11,8,98,7,45,7,0,support,0.65,91.4946053,5,57.56,0.3612451354,3,-2,,0.75
210,65.76694409,76.26094586,91.8108298,2,14,11,47.48,55.72,61.6,7.21E-01,0.1169094024,1.43E-01,4,4,3,-2,10,8,98,7,45,13,0,recovery,0.65,91.8054492,5,61.16,0.3655732694,3,-2,,0.75
216,65.15516594,77.47879802,92.09615225,2,14,11,46.4,59.68,67.28,7.28E-01,0.1186887968,1.50E-01,4,4,4,-2,10,7,98,7,45,8,0,bendras,0.65,92.0979434,5,64.07742452,0.3529710495,4,-1,,0.75
222,65.58795487,78.6517083,92.36438865,2,14,11,45.64,63.6,71.64,7.28E-01,0.1331729342,1.60E-01,3,4,4,-1,10,7,98,7,37119.25507,62907.27621,67953.80225,,0.65,92.43989346,5,69.18788058,0.4397951938,4,-1,,0.75
228,65.90033779,79.74525682,92.70946068,2,14,11,44.6,67.16,76.68,7.68E-01,0.1333421323,1.83E-01,3,4,4,-1,10,7,98,7,9213.869403,14673.62053,16804.59765,,0.65,92.72872372,5,73.08,0.468042578,4,-1,,0.75
234,66.62507624,81.04167762,92.96342892,2,14,11,45.64,72.44,81.72,8.34E-01,0.1339714468,1.95E-01,3,4,4,-1,10,7,98,7,46333.12447,77514.93675,84682.5599,,0.65,93.01464271,18,77.49031399,0.4101845079,4,-14,,0.75
240,67.72660885,82.05482284,93.23992569,2,14,11,48.28,76.8,86.8,6.14E-01,0.15202373,2.21E-01,4,4,4,-2,10,7,98,7,1.672727273,3.043010753,2.47,,0.65,93.3159548,18,80.3085142,0.4059468662,4,-14,,0.75
246,66.52628527,83.0670167,93.49944212,2,14,11,50.28,82.8,92.76,8.75E-01,0.1647811856,2.11E-01,4,5,5,-2,9,6,98,7,1.290909091,2.344827586,2.42,,0.65,93.59489026,18,83.56987063,0.4319376577,4,-14,,0.75
252,66.51677086,83.89049267,93.75411153,2,14,11,50.72,86.24,99.04,8.78E-01,0.1741536295,2.39E-01,4,5,5,-2,9,6,98,7,1.581818182,2.891304348,2.45,,0.65,93.84172488,18,81.74868274,0.4225769108,4,-14,,0.75
258,65.84036601,84.61757503,94.02350897,2,14,11,48.56,87.08,100.24,9.00E-01,0.1744026009,2.36E-01,4,5,5,-2,9,6,98,7,,,,,0.65,94.05407094,18,88.450812,0.2883723273,5,-13,,0.75
264,65.55485473,85.48414242,94.21371443,2,14,11,47.92,89.04,102.12,7.58E-01,0.1915854094,2.64E-01,4,5,5,-2,9,6,98,7,,,,,0.65,94.24404746,18,87.24,0.2481592473,5,-13,,0.75
270,65.0650977,86.12242531,94.40750091,2,13,11,46.68,88.64,101.8,9.24E-01,0.2187282946,2.58E-01,4,5,5,-2,8,6,98,7,,,,,0.65,94.41130922,18,84.24,0.2035150215,4,-14,,0.75
276,65.27111556,86.65861048,94.57762546,2,13,11,46.68,86.32,99.96,9.31E-01,0.2067783645,3.02E-01,4,5,5,-2,8,6,98,7,,,,,0.65,94.57180403,18,81.72,0.1708416358,4,-14,,0.75
282,64.97787906,87.09026131,94.728723,2,13,11,47.12,83.79942407,96.48,9.31E-01,0.2185350546,2.71E-01,4,5,5,-2,8,6,98,7,,,,,0.65,94.71247954,18,77.52,0.1431578417,4,-14,,0.75
288,65.16247722,87.49333846,94.89775143,2,13,11,47.64,79.64,92.24,7.85E-01,0.2095880363,2.90E-01,4,4,5,-2,9,6,98,7,,,,,0.65,94.83265817,18,74.64,0.1463528893,4,-14,,0.75
294,65.4376258,87.9899673,95.01501468,2,13,11,47.44,75.64,89.24,7.20E-01,0.1852810114,2.70E-01,4,4,5,-2,9,6,98,7,,,,,0.65,94.96105888,18,70.84,0.142598252,4,-14,,0.75
300,66.00367346,88.3351122,95.12224008,3,13,11,47.65952,74.44,83.76,6.55E-01,0.1906034963,2.51E-01,4,4,4,-1,9,7,98,7,,,,,0.65,95.0552519,18,66.2,0.1335539329,4,-14,,0.75
306,67.19359803,88.61741716,95.22204667,3,13,11,48.97344,69.80068648,80.52,6.22E-01,0.1730619415,2.43E-01,4,4,4,-1,9,7,98,7,,,,,0.65,95.13714233,18,61.16,0.1126656474,3,-15,,0.75
312,68.11896387,88.82838504,95.2989014,3,13,11,50.553415,64.44,74,6.46E-01,0.1590632813,2.05E-01,4,4,4,-1,9,7,98,7,,,,,0.65,95.1978745,18,53.08,0.09908271008,3,-15,,0.75
318,68.88158426,89.01712508,95.39989462,3,13,11,50.41630933,58.88,66.72,6.59E-01,0.1452102366,1.91E-01,4,3,3,-1,10,8,98,7,,,,,0.65,95.26219304,18,48.32,0.09068947707,3,-15,,0.75
324,69.48151927,89.28004497,95.44896539,3,13,11,48.94337067,50.72,59.12,6.14E-01,0.1458852487,1.91E-01,4,3,3,-1,10,8,98,7,,,,,0.65,95.33026449,18,45.48,0.08467880606,3,-15,,0.75
330,70.36854325,89.45490816,95.51187595,3,13,11,47.08,47.04,54.96,5.77E-01,0.1244117084,1.83E-01,3,3,3,0,10,8,98,7,,,,,0.65,95.39043744,18,43.84,0.07787295249,2,-16,,0.75
336,71.1370948,89.61618775,95.56863503,3,12,11,45.52,45.16,51.48,4.66E-01,0.1180207219,1.49E-01,3,3,3,0,9,8,98,7,,,,,0.65,95.45018016,18,43.72,0.07915741239,2,-16,,0.7
342,71.70756873,89.76381438,95.61788033,3,12,11,44.16,44.44,50.16,4.33E-01,0.112677835,1.26E-01,3,3,3,0,9,8,98,7,,,,,0.65,95.49600711,18,41,0.07154837613,2,-16,,0.7
348,72.18996916,89.89328901,95.69156547,3,12,11,43.92,43.8,49.16,3.87E-01,0.1063062585,1.30E-01,3,3,3,0,9,8,98,7,,,,,0.65,95.52985113,18,36.04,0.06487840249,2,-16,,0.7
354,72.62252749,90.08169305,95.72731272,3,12,11,41.56,39.96,44.44,2.99E-01,0.1047215242,1.28E-01,3,2,2,0,10,9,98,7,,,,,0.65,95.5722772,18,32.56,0.06543798476,2,-16,,0.7
360,73.12448851,90.15904329,95.75757367,3,12,11,36.4,35.32,40.48,3.62E-01,0.09781717965,1.20E-01,3,2,2,0,10,9,98,7,,,,,0.65,95.60075743,18,27.68,0.05986657636,2,-16,,0.7
366,73.4960297,90.21346572,95.78143529,3,12,11,32.68,30.16,35.04,3.54E-01,0.08721590044,1.08E-01,2,2,2,1,10,9,98,7,,,,,0.65,95.62760109,18,24.52,0.05133876892,2,-16,,0.7
372,73.68455437,90.27933721,95.80010789,3,12,11,27.88,26.72,30.8,2.70E-01,0.07505570096,9.84E-02,2,2,2,1,10,9,98,7,,,,,0.65,95.6478242,18,20.68,0.04225666836,1,-17,,0.7
378,73.89439183,90.33994909,95.84635202,3,12,11,24.52,23,26.48,2.58E-01,0.06096545289,8.17E-02,2,2,2,1,10,9,98,7,,,,,0.65,95.66523021,18,19.08,0.03577205504,1,-17,,0.7
384,74.10910765,90.44454129,95.86124609,3,12,11,22,19.92,23.32,2.35E-01,0.05829635137,7.33E-02,2,1,2,1,11,9,98,7,,,,,0.65,95.68558798,18,18.2,0.03431212154,1,-17,,0.7
390,74.41155208,90.4933099,95.87814676,3,12,11,19.6,18.2,21.2,1.91E-01,0.04900706909,6.81E-02,2,1,1,1,11,10,98,7,,,,,0.65,95.70874803,18,18.16,0.0306584609,1,-17,,0.7
396,74.63294755,90.52243756,95.89212382,3,12,11,19,17.96,21.36,1.96E-01,0.0402720533,5.57E-02,2,1,1,1,11,10,98,7,,,,,0.65,95.73333594,18,18.48,0.02994989918,1,-17,,0.7
402,74.76168116,90.57859749,95.91224109,3,11,11,18.4,17.56,21.52,1.73E-01,0.04770805736,4.45E-02,2,1,1,1,10,10,98,7,,,,,0.65,95.75175612,18,17.96,0.03007296418,1,-17,,0.7
408,74.9642889,90.62938727,95.95362025,3,11,11,18.48,17.8,21.24,1.77E-01,0.03894427452,5.27E-02,2,1,1,1,10,10,98,7,,,,,0.65,95.7667451,18,17.92,0.03081330169,1,-17,,0.7
414,75.1415317,90.73314991,95.96945061,3,11,11,18.16,17.72,21.8,1.18E-01,0.04551038764,5.50E-02,2,1,1,1,10,10,98,7,,,,,0.65,95.79725263,18,18.24,0.03222903107,1,-17,,0.7
420,75.42533487,90.77531915,95.98577824,3,11,11,18.64,17.48,21.64,1.46E-01,0.04140556505,4.79E-02,2,1,1,1,10,10,98,7,,,,,0.65,95.81909126,18,18.04,0.03015124982,1,-17,,0.7
426,75.64416187,90.80832684,95.99557568,3,11,11,18.28,18.2,20.68,1.75E-01,0.04514884535,5.63E-02,2,1,1,1,10,10,98,7,,,,,0.65,95.84226006,18,17.96,0.0342842371,1,-17,,0.7
432,75.77265512,90.85999516,96.01506208,2,11,11,17.88,18.04,21.04,1.97E-01,0.04218599993,5.24E-02,2,1,1,0,10,10,98,7,,,,,0.65,95.86213239,18,17.92,0.0353519541,1,-17,,0.7
438,75.92255563,90.90493319,96.05481762,2,11,11,17.88,17.92,21.04,2.46E-01,0.04458444207,5.85E-02,2,1,1,0,10,10,98,7,,,,,0.65,95.87998691,18,18.52,0.03444755245,1,-17,,0.7
444,76.07899759,91.00632699,96.06918367,2,11,11,18.04,17.96,20.8,2.15E-01,0.05460874908,6.34E-02,2,1,1,0,10,10,98,7,,,,,0.65,95.89824353,18,18.52,0.03139303739,1,-17,,0.7
