,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,259.525,260.4797867,260.375,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,9992,9828,9659,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.75,,original,,,,3815,-15533,,73,76
456,83.50645049,99.98661905,94.19654405,3,3,6,59.75372444,59.675,59.7,6.99E-01,0.7318623271,0.3050383345,3,3,3,0,0,3,97,7,,,,,0.75,,89.79476734,21,45.32,89.79476734,3,-18,0.7,,
462,83.86426205,99.98688275,94.38685275,3,3,6,60.45246667,59.9,60.3,6.52E-01,0.6938886274,0.3463041209,3,3,3,0,0,3,97,7,,,,,0.75,,90.29469308,21,76.43965123,90.29469308,4,-17,0.7,,
468,84.20456803,99.98713206,94.50252706,3,3,6,60.8,59.9,60,6.72E-01,0.6974203982,0.3706408381,3,3,3,0,0,3,97,7,,,,,0.75,,90.74590016,21,108.12,90.74590016,6,-15,0.7,,
474,84.5223781,99.98737409,94.61335833,3,3,6,59.975,59.775,59.825,6.88E-01,0.7498507583,0.3592589512,3,3,3,0,0,3,97,7,,,,,0.75,,91.18512717,21,128.8,91.18512717,7,-14,0.7,,
480,85.01008132,99.98762002,94.71781406,3,3,6,59.95,59.6,60.025,7.15E-01,0.6621719458,0.3504981269,3,3,3,0,0,3,97,7,,,,,0.75,,91.57652058,21,138.84,91.57652058,7,-14,0.7,,
486,85.29873474,99.98805382,94.82040603,3,3,6,59.975,59.925,60,7.58E-01,0.6811082639,0.3372036722,3,3,3,0,0,3,97,7,,,,,0.75,,91.9425172,21,142.04,91.9425172,7,-14,0.7,,
492,85.58267946,99.98826615,94.97363702,3,3,6,60.075,59.975,60.5,6.45E-01,0.7380210472,0.3569724666,3,3,3,0,0,3,97,7,,,,,0.75,,92.27554642,21,141.88,92.27554642,7,-14,0.7,,
498,85.85203447,99.98846925,95.06936554,3,3,6,60.075,59.95,60.3,7.02E-01,0.7362608922,0.3524172256,3,3,3,0,0,3,97,7,,,,,0.75,,92.55323944,21,139.6,92.55323944,7,-14,0.7,,
504,86.1159492,99.98866601,95.15850722,3,3,6,60.125,59.95,60.03088353,7.14E-01,0.6966911758,0.343194966,3,3,3,0,0,3,97,7,,,,,0.75,,92.77281934,21,129.44,92.77281934,7,-14,0.7,,
510,86.52692642,99.98887279,95.24708217,3,3,6,60.825,60.3,60.575,7.15E-01,0.6381012556,0.3697733894,3,3,3,0,0,3,97,7,,,,,0.75,,92.91058065,21,113.8,92.91058065,6,-15,0.7,,
