,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
294,24.43590976,92.89583493,75.73686713,2,16,9,0,0,0,0.004376915204,0.003897596505,9.91E-02,0,0,0,2,16,9,98,7,,,,,0.65,,77.21473843,9,4.839403479,77.21473843,1,-8,0.75
300,24.42965783,92.88685262,75.74080642,2,16,9,0,0,0,0.004461924397,0.002029674191,1.38E-01,0,0,0,2,16,9,98,7,,,,,0.65,,77.24974503,9,0.24,77.24974503,1,-8,0.75
306,24.43058131,92.87517972,75.74890849,2,15,9,0,0,0,0.004123362188,0.001931545371,1.43E-01,0,0,0,2,15,9,98,7,,,,,0.65,,77.31188783,21,0,77.31188783,0,-21,0.75
312,24.43140195,92.87237903,75.74351673,2,15,9,0,0,0,0.003529310569,0.002505977527,1.11E-01,0,0,0,2,15,9,98,7,,,,,0.65,,77.25673063,21,0,77.25673063,0,-21,0.75
318,24.43385393,92.86311839,75.67560988,2,15,9,0,0,0,0.002747827409,0.002385090491,4.27E-03,0,0,0,2,15,9,98,7,,,,,0.65,,77.26086909,21,0,77.26086909,0,-21,0.75
324,24.43450583,92.88941194,75.76361822,2,15,9,0,0,0,0.00253258039,0.002751816566,4.21E-03,0,0,0,2,15,9,98,7,,,,,0.65,,77.18519735,21,0,77.18519735,0,-21,0.75
330,24.97775171,92.89659858,75.94790761,1,15,9,1.56,1.6,0.612336,0.002263990315,0.003110527428,3.64E-03,1,1,1,0,14,8,98,7,,,,,0.65,,77.21260203,21,0,77.21260203,0,-21,0.75
336,26.72038482,92.9480285,76.17346286,1,15,9,5.72,6.16,3.909024,0.0122157998,0.003051664211,2.75E-03,1,1,1,0,14,8,98,7,,,,,0.65,,77.22044158,21,0,77.22044158,0,-21,0.75
342,27.88675456,92.98127337,76.2916099,1,15,9,8.24,8.68,6.880892,0.01732811178,0.0100400045,1.19E-02,2,1,1,-1,14,8,98,7,,,,,0.65,,77.22017712,21,0,77.22017712,0,-21,0.75
348,27.94948585,93.00836928,76.64867885,1,15,9,8.32,12.16,9.300264,0.1653360635,0.01092326832,2.98E-02,2,1,1,-1,14,8,98,7,,,,,0.65,,77.26639439,21,0.303304,77.26639439,1,-20,0.75
354,27.94995337,93.16350997,77.56290677,1,15,9,6.76,21.8,16.50831467,0.1653360635,0.02161236346,5.94E-02,2,1,1,-1,14,8,98,7,,,,,0.65,,77.53913126,21,4.449146667,77.53913126,1,-20,0.75
360,27.9504198,93.41934365,78.73015065,1,15,9,2.6,40.08,30.48688,0.2277535001,0.02934558911,8.04E-02,1,2,2,0,13,7,98,7,,,,,0.65,,77.77335988,21,6.846717333,77.77335988,1,-20,0.75
366,27.9508847,93.74125707,80.05304482,1,15,9,0.08,67.88,51.83766933,0.1444522842,0.03724085497,7.97E-02,1,4,3,0,11,6,98,7,,,,,0.65,,77.90988177,21,8.659554667,77.90988177,1,-20,0.75
372,27.9513476,94.07795877,81.4867074,1,14,9,0,100.04,84.454784,0.003180915646,0.1323350068,1.78E-01,0,5,5,1,9,4,98,7,,,,,0.65,,78.44879601,21,15.81304933,78.44879601,1,-20,0.75
378,28.63615058,94.39678356,82.60339579,1,14,9,2.08,128.84,115.895028,0.003180915646,0.148146325,2.59E-01,1,6,6,0,8,3,98,7,,,,,0.65,,79.57035069,21,30.90602,79.57035069,2,-19,0.75
384,30.82285011,94.70868117,83.62054591,1,14,9,8.48,144.76,134.72,0.002025925175,0.2389879558,3.33E-01,2,7,7,-1,7,2,98,7,,,,,0.65,,81.31346841,21,55.628432,81.31346841,3,-18,0.75
390,30.64844977,94.96319411,84.43305599,1,14,9,14,150.08,145.08,0.07728597673,0.2639058705,4.16E-01,2,7,8,-1,7,1,98,7,,,,,0.65,,82.94401675,21,85.27633867,82.94401675,5,-16,0.75
396,29.90357849,95.17375362,85.18385012,1,14,9,19.56,149.48,148.24,0.07728597673,0.3076322031,4.37E-01,3,7,8,-2,7,1,98,7,,,,,0.65,,84.47009377,21,117.3801413,84.47009377,7,-14,0.75
402,29.25778456,95.3581882,85.77486068,1,14,9,24.72,145.8,142.48,0.05073738499,0.3107584419,5.38E-01,4,7,8,-3,7,1,98,7,,,,,0.65,,85.64990966,21,136.72,85.64990966,7,-14,0.75
408,28.06564151,95.49891111,85.90630814,1,14,9,26.68,133.72,130.36,0.9633854317,0.2762217671,5.46E-01,5,6,7,-4,8,2,98,7,,,,,0.65,,86.71179565,21,145.88,86.71179565,8,-13,0.75
414,27.48594649,95.54734117,85.94953937,1,14,9,25.36,101.0791985,100.68,0.9633854317,0.2731244751,4.81E-01,4,5,5,-3,9,4,98,7,,,,,0.65,,87.70750824,21,150.36,87.70750824,8,-13,0.75
420,26.90477839,95.54138966,85.97664588,1,14,9,23.68,65.56,68.36,0.9757914569,0.2361895889,4.14E-01,4,3,4,-3,11,5,98,7,,,,,0.65,,88.36372973,21,142.6,88.36372973,8,-13,0.75
426,26.39983082,95.56486588,86.23173485,1,14,9,22.52,40.28,41.36,0.5273723067,0.1921502213,3.47E-01,4,2,3,-3,12,6,98,7,,,,,0.65,,88.89013775,21,131.44,88.89013775,7,-14,0.75
432,25.79903702,95.65727958,86.76691919,1,14,9,21.56,34.04,29.76,0.6203722228,0.1206866933,2.40E-01,4,2,2,-3,12,7,98,7,,,,,0.65,,89.05934187,21,104.88,89.05934187,6,-15,0.75
438,24.70973217,95.80189831,87.26176339,1,14,9,20.56,58.36069128,46.32,0.9967007248,0.07411999624,1.48E-01,4,3,3,-3,11,6,98,7,,,,,0.65,,89.05038794,21,68.28,89.05038794,4,-17,0.75
444,24.79333419,95.97112793,87.77662378,1,13,9,18.88,92.24,77.52,0.9968075846,0.09492704728,1.01E-01,4,5,4,-3,8,5,98,7,,,,,0.65,,89.07318955,21,39.12,89.07318955,2,-19,0.75
450,24.79319092,96.11684675,88.21635865,1,13,9,14.84,123,106.04,0.661237849,0.1730502238,2.09E-01,3,6,6,-2,7,3,98,7,,,,,0.65,,89.34888225,21,29.48,89.34888225,2,-19,0.75
456,24.8055395,96.23555059,88.66854912,1,13,9,10.76,136.76,125.12,0.7748709216,0.2085269932,2.64E-01,2,7,7,-1,6,2,98,7,,,,,0.65,,89.79476734,21,45.32,89.79476734,3,-18,0.75
462,25.807488,96.35990738,89.13968166,1,13,9,12.32,144.32,137.96,0.7748709216,0.3270688145,3.37E-01,3,7,7,-2,6,2,98,7,,,,,0.65,,90.29469308,21,76.43965123,90.29469308,4,-17,0.75
468,24.91085521,96.48202477,89.46086244,1,13,9,17.24,147.24,139.8,0.6651107036,0.3236450649,4.31E-01,3,7,7,-2,6,2,98,7,,,,,0.65,,90.74590016,21,108.12,90.74590016,6,-15,0.75
474,24.21673186,96.61156503,89.80150478,2,13,9,24.74575,146.4,141.04,0.5397399066,0.3463621365,4.61E-01,5,7,7,-3,6,2,98,7,,,,,0.65,,91.18512717,21,128.8,91.18512717,7,-14,0.75
480,24.64397363,96.7012495,90.04386727,2,13,9,31.20587333,143.24,138.32,0.3694716669,0.3464156097,5.03E-01,6,7,7,-4,6,2,98,7,,,,,0.65,,91.57652058,21,138.84,91.57652058,7,-14,0.75
486,24.94469512,96.77255226,90.22346938,2,13,9,32.79806333,135.2,130.8,0.5322249728,0.303211805,4.30E-01,6,6,7,-4,7,2,98,7,,,,,0.65,,91.9425172,21,142.04,91.9425172,7,-14,0.75
492,25.69896441,96.82250355,90.3223702,2,13,9,35.059112,118.96,114.44,0.5668576642,0.3307737776,3.98E-01,6,6,6,-4,7,3,98,7,,,,,0.65,,92.27554642,21,141.88,92.27554642,7,-14,0.7
498,27.12305045,96.83360026,90.30378116,2,13,9,37.565472,87.84,85.24,0.7490235978,0.2890393928,4.23E-01,6,4,5,-4,9,4,98,7,,,,,0.65,,92.55323944,21,139.6,92.55323944,7,-14,0.7
504,27.69849114,96.84530049,90.32650282,2,13,9,39.16,53.48,53.96,0.8155237812,0.2282617888,3.63E-01,7,3,3,-5,10,6,98,7,,,,,0.65,,92.77281934,21,129.44,92.77281934,7,-14,0.7
510,28.12416272,96.84167805,90.31845954,2,12,9,39.8,25.76,28.24,0.6132660034,0.1656312925,2.78E-01,7,2,2,-5,10,7,98,7,,,,,0.65,,92.91058065,21,113.8,92.91058065,6,-15,0.7
516,28.87828343,96.84148062,90.2902136,2,12,9,40.36,7.76,9.56,0.7436368797,0.09874530696,1.52E-01,6,1,1,-4,11,8,98,7,,,,,0.65,,92.97211105,21,84.35908818,92.97211105,4,-17,0.7
