,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
9918,46.87572863,,,2,,,29.56,,,0.7131775323,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69569618,9,1.69528,99.69569618,1,-8,70
9924,46.87524165,,,2,,,23.28,,,0.5870323831,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69564782,9,0,99.69564782,0,-9,70
9930,46.87497438,,,2,,,17.24,,,0.4381363153,,,2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.69590198,9,0,99.69590198,0,-9,70
9936,46.87487362,,,2,,,10.24,,,0.3820431001,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.69595073,9,6.08,99.69595073,1,-8,70
9942,46.87995604,,,2,,,1.2,,,0.3262398023,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.69628752,8,40.72,99.69628752,2,-6,70
9948,46.87656597,,,2,,,0,,,0.1056068035,,,0,#DIV/0!,#DIV/0!,2,#DIV/0!,#DIV/0!,,,,,,,,,99.6967015,8,77.6,99.6967015,4,-4,70
9954,46.87647376,,,2,,,0,,,0.002402064819,,,0,#DIV/0!,#DIV/0!,2,#DIV/0!,#DIV/0!,,,,,,,,,99.69705014,8,107.16,99.69705014,5,-3,70
9960,46.88362406,,,2,,,1.48,,,0.0143546836,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.69749651,8,145.96,99.69749651,7,-1,70
9966,46.90595955,,,2,,,5.64,,,0.01987629344,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.69785729,8,147.72,99.69785729,7,-1,70
9972,46.94047462,,,2,,,21.44,,,0.02866514604,,,2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.69826245,8,149.52,99.69826245,7,-1,70
9978,46.97332856,,,2,,,34.36,,,0.1754338982,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69858733,8,141.96,99.69858733,7,-1,70
9984,46.97371471,,,2,,,41.4,,,0.3571306592,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69873682,8,128.4,99.69873682,6,-2,70
9990,46.97627516,,,2,,,44.16,,,0.4877660709,,,5,#DIV/0!,#DIV/0!,-3,#DIV/0!,#DIV/0!,,,,,,,,,99.6992016,8,105.12,99.6992016,5,-3,70
9996,46.97558372,,,2,,,41.16,,,0.5798212579,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69938296,8,88.92,99.69938296,4,-4,70
10002,46.95604772,,,2,,,38.32,,,0.6838088205,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.6995685,8,74.36,99.6995685,4,-4,70
10008,46.93271294,,,2,,,38.04,,,0.6141904215,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69971335,8,69.36,99.69971335,4,-4,70
10014,46.9051727,,,2,,,37.96,,,0.6654804759,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69982777,8,64.92,99.69982777,3,-5,70
10020,46.88800572,,,2,,,35.64,,,0.4363805675,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69987165,8,52.12,99.69987165,3,-5,70
10026,46.85987276,,,2,,,33.08,,,0.6815345513,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.69987298,8,37.2,99.69987298,2,-6,70
10032,46.82878098,,,2,,,24.16,,,0.4423021617,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69983114,8,19.92,99.69983114,1,-7,70
10038,46.81836065,,,1,,,14.48,,,0.9961721871,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69979911,8,9.639862411,99.69979911,1,-7,70
10044,46.82178696,,,1,,,9.84,,,0.7214832408,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.69977926,7,2.32,99.69977926,1,-6,70
10050,46.85819376,,,1,,,11.04,,,0.564200213,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70000765,7,0,99.70000765,0,-7,70
10056,46.8937925,,,1,,,15.8,,,0.6478221663,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69999503,7,0,99.69999503,0,-7,70
10062,46.93008002,,,1,,,20.52,,,0.5123449608,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.69996171,7,0.4,99.69996171,1,-6,70
10068,46.9982572,,,1,,,31.68037333,,,0.5123449608,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.70014748,7,19.04,99.70014748,1,-6,70
10074,47.02861812,,,2,,,31.12684444,,,0.4186126532,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70050442,7,56.04,99.70050442,3,-4,70
10080,47.07385862,,,2,,,32.01271,,,0.5263425036,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70076292,7,78.52,99.70076292,4,-3,70
10086,47.11965925,,,2,,,32.0476,,,0.5263425036,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70091707,6,94.16,99.70091707,5,-1,70
10092,47.1281554,,,2,,,26.98952533,,,0.7077590434,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.7009551,6,80.16,99.7009551,4,-2,70
10098,47.1649367,,,2,,,24.2,,,0.5915647274,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70093112,6,51,99.70093112,3,-3,70
10104,47.1991126,,,2,,,25.88,,,0.3859074196,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70090938,6,23.36,99.70090938,2,-4,70
10110,47.20790725,,,2,,,27.4,,,0.3033703409,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.7011307,6,8.04,99.7011307,1,-5,70
10116,47.19238956,,,2,,,38.2,,,0.3174624857,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.70111963,6,0.48,99.70111963,1,-5,70
10122,47.2024051,,,2,,,43.24,,,0.5637725861,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.70108491,6,0,99.70108491,0,-6,70
10128,47.17734881,,,2,,,42.88,,,0.6211778333,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.70106188,6,0,99.70106188,0,-6,70
10134,47.14966077,,,2,,,40,,,0.7524373356,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.7010462,6,0,99.7010462,0,-6,70
10140,47.12262355,,,2,,,35.72,,,0.4625858559,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.70100893,6,0,99.70100893,0,-6,70
10146,47.09511743,,,2,,,27.72,,,0.6684264947,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70098981,5,0,99.70098981,0,-5,70
10152,47.06676325,,,2,,,22.8,,,0.6189781333,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70095771,5,0,99.70095771,0,-5,70
10158,47.06425409,,,1,,,12.36,,,0.8030554561,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70092652,5,0,99.70092652,0,-5,70
10164,47.06488684,,,1,,,7.04,,,0.8030554561,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.70090265,5,0.4,99.70090265,1,-4,70
10170,47.06551151,,,1,,,2.4,,,0.3089977244,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.70115289,5,3.28,99.70115289,1,-4,70
10176,47.06614034,,,1,,,0,,,0.2222728423,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.70119473,5,7.28,99.70119473,1,-4,70
10182,47.06676857,,,1,,,0,,,0.2222728423,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.70118197,5,8.27898133,99.70118197,1,-4,70
10188,47.06632324,,,1,,,1.19635,,,0.002268742916,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.70119803,4,12.6,99.70119803,1,-3,70
10194,47.08214619,,,2,,,12.10629333,,,0.1349021692,,,2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.70135846,4,27.44,99.70135846,2,-2,70
10200,47.08428007,,,2,,,15.77375333,,,0.2572902941,,,2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.70157981,4,43.92,99.70157981,2,-2,70
10206,47.0891595,,,2,,,24.74529067,,,0.3410104845,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.70183804,4,73.92971865,99.70183804,4,0,70
10212,47.08576421,,,2,,,32.49276667,,,0.4783796323,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.68818724,4,88.96,99.68818724,4,0,70
10218,47.11026296,,,2,,,32.20757667,,,0.4397706056,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.67123546,4,98.4,99.67123546,5,1,70
10224,47.0897534,,,2,,,36.4,,,0.6518122611,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.64547554,4,97.92,99.64547554,5,1,70
10230,47.09062994,,,2,,,34.56,,,0.5887502105,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62918361,4,94.28,99.62918361,5,1,70
10236,47.07414951,,,2,,,31.96,,,0.4618387222,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62501276,4,92.91629499,99.62501276,5,1,70
10242,47.06954175,,,2,,,33.44,,,0.6263591708,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62389167,4,87.8,99.62389167,4,0,70
10248,47.05613605,,,2,,,33.52,,,0.5631129193,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62395012,4,76.36,99.62395012,4,0,70
10254,47.02760132,,,2,,,31.84,,,0.6244491939,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62393941,14,54.76,99.62393941,3,-11,70
10260,47.00007477,,,2,,,32.68,,,0.6692135903,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62393174,14,37.20028233,99.62393174,2,-12,70
10266,46.9809841,,,2,,,30.4,,,0.5317661768,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62410764,14,27.40903667,99.62410764,2,-12,70
10272,46.99453916,,,2,,,28.4,,,0.494235392,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62442098,14,38.57829333,99.62442098,2,-12,70
10278,47.04079946,,,1,,,24.16,,,0.9473329176,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62484259,15,66.43909067,99.62484259,3,-12,70
10284,47.04143458,,,1,,,18.52,,,0.7173990225,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62525495,15,94.830512,99.62525495,5,-10,70
10290,47.04206121,,,1,,,13,,,0.669481453,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.6259659,15,121.9708853,99.6259659,6,-9,70
10296,47.0426924,,,1,,,7.24,,,0.4886764175,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.62647664,15,137.58454,99.62647664,7,-8,70
10302,47.04332365,,,1,,,1.72,,,0.2491416901,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.62691518,15,140.8,99.62691518,7,-8,70
10308,47.0408195,,,1,,,0,,,0.2491416901,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62736383,15,141.4,99.62736383,7,-8,70
10314,47.04145099,,,1,,,0,,,0.001231328889,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62778154,15,140.04,99.62778154,7,-8,70
10320,47.04590697,,,1,,,1.64,,,0.00234468441,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.62813902,14,132.04,99.62813902,6,-8,70
10326,47.03492898,,,1,,,9.64,,,0.001824164471,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.6284004,14,115.72,99.6284004,6,-8,70
10332,47.01060332,,,1,,,15.2,,,0.001520093115,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62845476,14,89.44,99.62845476,4,-10,70
10338,46.94986189,,,1,,,23.4,,,0.5088216145,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62846287,14,58.56,99.62846287,3,-11,70
10344,46.96591049,,,1,,,27.48,,,0.3723556575,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.62842895,14,34.12,99.62842895,2,-12,70
10350,46.98404463,,,1,,,22,,,0.7360725249,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62866291,14,10.56,99.62866291,1,-13,70
10356,46.9846683,,,1,,,16.44,,,0.7373327183,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.62859816,14,0.32,99.62859816,1,-13,70
10362,46.98529142,,,1,,,13.84,,,0.604542311,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.6285734,14,0,99.6285734,0,-14,70
10368,46.98281767,,,1,,,2.52,,,0.5750749828,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.62858092,13,0,99.62858092,0,-13,70
10374,46.98344165,,,1,,,0,,,0.2946293879,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62856785,13,1.4,99.62856785,1,-12,70
10380,46.98406554,,,1,,,0,,,0.1752832988,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62861161,13,9.12,99.62861161,1,-12,70
10386,46.98468998,,,1,,,0,,,0.001672306872,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62889454,13,33.12,99.62889454,2,-11,70
10392,46.98531309,,,1,,,0,,,0.001484898077,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62926051,13,60.24,99.62926051,3,-10,70
10398,46.98283936,,,1,,,0,,,0.002229284201,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.62974385,13,94.72,99.62974385,5,-8,70
10404,46.98346271,,,1,,,0,,,0.002308855055,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.63015702,13,124.96,99.63015702,6,-7,70
10410,46.98407798,,,1,,,0,,,0.002310735574,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.6309176,12,145.24,99.6309176,7,-5,70
10416,46.98469749,,,1,,,0,,,0.002817932555,,,0,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.63143815,12,150.24,99.63143815,7,-5,70
10422,46.98554158,,,1,,,0.12,,,0.003148290717,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.63183723,12,148.5093681,99.63183723,7,-5,70
10428,47.02188729,,,1,,,7.28,,,0.002548209015,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.63231749,12,147.84,99.63231749,7,-5,70
10434,47.03236922,,,1,,,8.76,,,0.002037968889,,,1,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.63280931,12,151,99.63280931,7,-5,70
10440,47.04419166,,,1,,,11.12,,,0.1772601205,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63328564,12,148.52,99.63328564,7,-5,70
10446,47.07727087,,,1,,,17.44,,,0.2632308222,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63346719,12,127.0483055,99.63346719,6,-6,70
10452,47.07226546,,,1,,,20.32,,,0.3582851082,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63343981,12,97.52,99.63343981,5,-7,70
10458,47.01736522,,,1,,,26.96,,,0.3582851082,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63346105,12,62,99.63346105,3,-9,70
10464,46.99319626,,,1,,,30.68,,,0.2898160868,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63350428,12,30.84,99.63350428,2,-10,70
10470,46.96825172,,,1,,,29.8,,,0.7506086172,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63385344,12,18.88,99.63385344,1,-11,70
10476,46.94412824,,,1,,,29.2,,,0.9959756274,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.6339383,12,26.04,99.6339383,2,-10,70
10482,46.91726262,,,1,,,28.16,,,0.9959756274,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63404215,11,34.36,99.63404215,2,-9,70
10488,46.85998785,,,1,,,25.48,,,0.8050797872,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63414975,11,37.4,99.63414975,2,-9,70
10494,46.83262814,,,1,,,25.16,,,0.6964481319,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63425509,11,37.76,99.63425509,2,-9,70
10500,46.8041196,,,1,,,24.76,,,0.8185475963,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63431216,11,34.64,99.63431216,2,-9,70
10506,46.80764974,,,1,,,22.8,,,0.9498598462,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63428381,11,27.12,99.63428381,2,-9,70
10512,46.80825522,,,1,,,18.08,,,0.9498598462,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63432281,11,22.72,99.63432281,1,-10,70
10518,46.82660876,,,1,,,15,,,0.7520145943,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63450475,11,30.28,99.63450475,2,-9,70
10524,46.80484515,,,1,,,16.08,,,0.6249494917,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63487303,10,53.6,99.63487303,3,-7,70
10530,46.7803298,,,1,,,19.08,,,0.6495196457,,,2,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63563875,10,96.92,99.63563875,5,-5,70
10536,46.75565078,,,1,,,24.4,,,0.6481901438,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63608948,10,123.64,99.63608948,6,-4,70
10542,46.72903797,,,1,,,29.84,,,0.6481901438,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.6365222,10,145.76,99.6365222,7,-3,70
10548,46.67566217,,,1,,,27.72,,,0.5481669333,,,3,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63696104,10,150.64,99.63696104,7,-3,70
10554,46.64064568,,,2,,,29.02955333,,,0.5137471109,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63742765,10,150.64,99.63742765,7,-3,70
10560,46.64390886,,,2,,,31.06079333,,,0.6129348735,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.63787947,10,144.6,99.63787947,7,-3,70
10566,46.6331014,,,2,,,33.045008,,,0.6810361969,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63792546,10,117.4,99.63792546,6,-4,70
10572,46.62497359,,,2,,,33.76965333,,,0.6498742847,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63792958,10,80.56,99.63792958,4,-6,70
10578,46.63643388,,,2,,,35.16,,,0.7096313007,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63788937,10,49.4,99.63788937,3,-7,70
10584,46.63344572,,,2,,,36,,,0.6007687496,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.63787316,10,11.44,99.63787316,1,-9,70
10590,46.66292585,,,2,,,33.72,,,0.6848103342,,,4,#DIV/0!,#DIV/0!,-2,#DIV/0!,#DIV/0!,,,,,,,,,99.6380641,10,0,99.6380641,0,-10,70
10596,46.67409388,,,2,,,24.52,,,0.563444426,,,3,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,,,,,,,,,99.638044,10,0,99.638044,0,-10,70
10602,46.67316967,,,2,,,16.36,,,0.4730251974,,,2,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,99.63805748,9,1,99.63805748,1,-8,70
10608,46.66950821,,,2,,,5,,,0.3111601229,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.63824108,9,19.04,99.63824108,1,-8,70
10614,46.66900356,,,2,,,0.12,,,0.1318632643,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.63870897,9,63.76,99.63870897,3,-6,70
10620,46.66864611,,,2,,,0,,,0.04751662818,,,0,#DIV/0!,#DIV/0!,2,#DIV/0!,#DIV/0!,,,,,,,,,99.63924589,9,100.68,99.63924589,5,-4,70
10626,46.67607283,,,2,,,0.32,,,0.001990189634,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.63962126,9,130.72,99.63962126,6,-3,70
10632,46.68485879,,,2,,,2.36,,,0.002914805783,,,1,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,,,,,,,,,99.64008426,9,148.2,99.64008426,7,-2,70
,46.73891666,,,2,,,14.04,,,0.107513907,,,,,,,,,,,,,,,,,99.64043332,9,149.96,99.64043332,7,-2,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64089771,8,147,99.64089771,7,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64146383,8,131.88,99.64146383,6,-2,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64163222,8,116.44,99.64163222,6,-2,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64186589,8,97.08,99.64186589,5,-3,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64204511,8,80.12,99.64204511,4,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64226238,8,71.52,99.64226238,4,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6424081,8,68.12,99.6424081,3,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64246979,8,58.32,99.64246979,3,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64252608,8,45.44,99.64252608,2,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64250838,7,31.32,99.64250838,2,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64272101,7,12.48,99.64272101,1,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64267082,7,3.84,99.64267082,1,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64266245,7,0.28,99.64266245,1,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64264986,7,0,99.64264986,0,-7,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64263698,7,0,99.64263698,0,-7,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64268469,7,7.88,99.64268469,1,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64305546,6,41.76,99.64305546,2,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6434168,6,69.96,99.6434168,4,-2,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64359744,6,86.2,99.64359744,4,-2,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64372318,6,93.72,99.64372318,5,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6439692,6,57.64,99.6439692,3,-3,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64393687,6,30.32,99.64393687,2,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64392663,6,14.96,99.64392663,1,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6439147,6,3.869422222,99.6439147,1,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64388978,6,0,99.64388978,0,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64385477,6,0,99.64385477,0,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64381894,6,0,99.64381894,0,-6,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6438183,5,0,99.6438183,0,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64377424,5,0,99.64377424,0,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64375015,5,0,99.64375015,0,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64396307,5,0,99.64396307,0,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64393642,5,0,99.64393642,0,-5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64395509,5,1.96,99.64395509,1,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64396253,5,5.64,99.64396253,1,-4,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64397369,4,7.6,99.64397369,1,-3,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64398964,4,10.28,99.64398964,1,-3,70
