,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
294,46.82999088,66.44606854,96.37016672,2,4,10,36.24,83.04,140.32,0.8878323754,0.5600574084,0.3602600137,4,6,7,-2,-2,3,98,7,,,,,0.65,,,,,,,,0.75
300,46.73951413,66.89872382,96.51575594,2,4,10,36.52,83.72,141,0.7578898649,0.7210045864,0.3281950222,4,6,7,-2,-2,3,98,7,,,,,0.65,,,,,,,,0.75
306,47.34384848,67.47156895,96.63592908,2,4,10,40.12,82.26,141.88,0.7465714266,0.7909197532,0.4668368303,4,6,7,-2,-2,3,98,7,,,,,0.65,,,,,,,,0.75
312,47.59299428,67.28968191,96.75736076,3,4,10,42.70102667,83.64,143.84,0.81066355,0.7190594158,0.4283894176,4,6,7,-1,-2,3,98,7,,,,,0.65,,,,,,,,0.75
318,47.89930357,67.34064298,96.89055189,3,4,10,48.23061333,84.68,143.4,0.8101437761,0.6924958524,0.4290098302,5,6,7,-2,-2,3,98,7,,,,,0.65,,,,,,,,0.75
324,47.28233864,67.48926592,96.95381055,3,4,10,52.26991,79.16,143,0.6778266837,0.7315107873,0.4197182754,5,5,7,-2,-1,3,98,7,,,,,0.65,,,,,,,,0.75
330,47.87882951,67.54492468,97.05843141,3,4,10,54.953168,77.6,143.76,0.7054319373,0.5998462517,0.3762811839,5,5,7,-2,-1,3,98,7,,,,,0.65,,,,,,,,0.75
336,48.60892511,67.98054402,97.14856651,3,7,10,57.802352,77.10428667,145.0776196,0.6768985654,0.526450299,0.4669501112,6,5,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
342,48.72905743,68.61559915,97.23571799,3,7,10,60.36,80.54412444,145.64,0.8075249765,0.4939132589,0.4466762877,6,6,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
348,49.26918251,69.11985999,97.33351304,3,7,10,60.16,92.39039067,147.32,0.7249107715,0.5431925984,0.3931015736,6,6,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
354,49.57372507,69.96712237,97.40465777,3,7,10,59.12,105.693696,147.48,0.7979373342,0.5718527579,0.457779757,6,7,7,-3,0,3,98,7,,,,,0.65,,,,,,,,0.75
360,50.6493316,70.39782907,97.48431247,3,7,10,61.72,117.1683347,148.8825732,0.7188192314,0.6418799642,0.427620282,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
366,51.21690318,71.5395951,97.55225445,3,7,10,60.48,123.72,149.04,0.7314761903,0.697697402,0.4511737554,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
372,51.40044529,71.83633982,97.61596797,3,7,10,62.36,122.36,149.84,0.7390530277,0.6332673224,0.4033107496,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
378,51.36953869,72.35552647,97.68800845,3,7,10,66.08,121.48,148.56,0.5187225106,0.5992318728,0.39190481,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
384,51.21263345,72.97038606,97.742847,3,7,10,68.32,125.08,148.92,0.7945006322,0.5578606905,0.4428185451,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
390,52.05690277,73.67766085,97.80273821,3,7,10,68.48,126,148.2,0.8034613468,0.6276992085,0.3843772321,6,8,7,-3,-1,3,98,7,,,,,0.65,,,,,,,,0.75
396,52.7384089,74.56178751,97.85537803,3,10,10,71.28,128.48,147.88,0.813728803,0.5651566676,0.406377932,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
402,52.58616236,74.80543879,97.90298817,3,10,10,70.24,129.4693152,148.64,0.7323468762,0.5418869418,0.408620566,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
408,52.07130604,75.82629794,97.96100116,3,10,10,70.16,134.352226,148.48,0.7012870328,0.5379060898,0.3708955461,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
414,51.83239017,76.73611586,98.00364191,3,10,10,72.75,133.1245708,148.72,0.6961526792,0.5083497668,0.4334082718,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
420,51.89248447,77.33388922,98.05048722,3,10,10,71.32,136.595584,148.96,0.91041902,0.5710786964,0.4310798982,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
426,52.38788669,78.20388225,98.09264278,3,10,10,70.12,147.32,148.68,0.8155965835,0.543216314,0.404664838,6,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
