,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
9234,97.80635606,,98.26596121,7,,7,143.96,,143.72,5.70E-01,,5.84E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72844058,9,81.64,99.72844058,4,-5,,,
9240,97.80799372,,98.26705027,7,,7,143.76,,144.08,5.37E-01,,5.74E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.7283901,9,41.28,99.7283901,2,-7,,,
9246,97.81188774,,98.26825698,7,,7,143.52,,144.12,5.63E-01,,5.76E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.7283571,9,9.32,99.7283571,1,-8,,,
9252,97.81468014,,98.27184583,7,,7,144.28,,144.76,4.60E-01,,5.53E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72835174,9,0,99.72835174,0,-9,,,
9258,97.81664489,,98.27364263,7,,7,144.12,,144.88,5.18E-01,,5.52E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72831558,9,0,99.72831558,0,-9,,,
9264,97.81826552,,98.27518721,7,,7,145.12,,144.44,5.18E-01,,4.68E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72829143,9,1.36,99.72829143,1,-8,,,
9270,97.82037499,,98.27665052,7,,7,144.84,,144.52,5.39E-01,,5.89E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72880148,9,25.92,99.72880148,2,-7,,,
9276,97.8241244,,98.27732373,7,,7,144.36,,143.36,5.63E-01,,5.90E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72914883,8,64.12,99.72914883,3,-5,,,
9282,97.82694666,,98.26772695,7,,7,144.68,,139.24,5.48E-01,,4.58E-01,7,#DIV/0!,7,0,#DIV/0!,0,98,7,,,,,,,99.72950641,8,92.96,99.72950641,5,-3,,,
9288,97.82689332,,98.26025566,7,,7,142.68,,135.84,5.42E-01,,5.77E-01,7,#DIV/0!,6,0,#DIV/0!,1,98,7,,,,,,,99.72985332,8,130.84,99.72985332,6,-2,,,
9294,97.82850125,,98.26177621,7,,7,142.8,,134.48,5.23E-01,,5.99E-01,7,#DIV/0!,6,0,#DIV/0!,1,98,7,,,,,,,99.73028818,8,150.08,99.73028818,7,-1,,,
9300,97.82465559,,98.26300522,7,,7,139.88,,136.16,5.64E-01,,5.17E-01,7,#DIV/0!,6,0,#DIV/0!,1,98,7,,,,,,,99.73070251,8,151.2,99.73070251,7,-1,,,
9306,97.82436798,,98.26423177,7,,7,136.76,,137.36,5.90E-01,,6.11E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.73100487,8,149.04,99.73100487,7,-1,,,
9312,97.82733932,,98.26773218,7,,7,139.76,,144.28,5.36E-01,,5.29E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73122229,8,136.32,99.73122229,6,-2,,,
9318,97.82927683,,98.26968049,7,,7,139.6,,144.56,5.55E-01,,5.19E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73136641,8,116.2,99.73136641,6,-2,,,
9324,97.83093355,,98.27128005,7,,7,143.08,,143.96,5.44E-01,,4.91E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73156238,8,94.08,99.73156238,5,-3,,,
9330,97.83295403,,98.2726285,7,,7,144,,144.96,5.02E-01,,5.56E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73199634,8,79.32,99.73199634,4,-4,,,
9336,97.83653023,,98.27390827,7,,7,144.08,,144.88,5.08E-01,,5.45E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73212818,8,70.8,99.73212818,4,-4,,,
9342,97.83936853,,98.27721568,7,,7,145,,144.12,5.32E-01,,5.29E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73226807,8,68.04,99.73226807,3,-5,,,
9348,97.84133173,,98.27909163,7,,7,144.12,,143.28,5.07E-01,,5.59E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73232314,8,60.8,99.73232314,3,-5,,,
9354,97.84278947,,98.28069864,7,,7,142.96,,144,5.43E-01,,4.89E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73236308,8,43.4,99.73236308,2,-6,,,
9360,97.84327641,,98.28212743,7,,7,144.08,,144.64,5.55E-01,,5.30E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73231976,7,27.24,99.73231976,2,-5,,,
9366,97.84664954,,98.28359351,7,,7,144.96,,145.12,5.40E-01,,5.62E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73229528,7,15.48,99.73229528,1,-6,,,
9372,97.84943764,,98.28662281,7,,7,144.28,,144.16,5.40E-01,,5.35E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73228038,7,4.76,99.73228038,1,-6,,,
9378,97.8513704,,98.2882481,7,,7,144.2,,145.36,5.73E-01,,5.40E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73223083,7,0.52,99.73223083,1,-6,,,
9384,97.85302363,,98.28980025,7,,7,144.4,,143.32,5.01E-01,,5.27E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73221515,7,0,99.73221515,0,-7,,,
9390,97.85510683,,98.29122998,7,,7,144.88,,144.8,5.19E-01,,5.85E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73244698,7,0,99.73244698,0,-7,,,
9396,97.85850987,,98.29273488,7,,7,145.24,,145.48,5.69E-01,,5.23E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73246343,7,3.92,99.73246343,1,-6,,,
9402,97.86110736,,98.29571026,7,,7,145.48,,144.48,4.74E-01,,5.55E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73279451,6,40.16,99.73279451,2,-4,,,
9408,97.86308015,,98.29779543,7,,7,144.92,,145.24,5.70E-01,,5.60E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73309246,6,71.44,99.73309246,4,-2,,,
9414,97.86473546,,98.29910213,7,,7,144,,146,5.32E-01,,4.84E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73333146,6,90.72,99.73333146,4,-2,,,
9420,97.86681391,,98.30037122,7,,7,144.92,,144.96,5.72E-01,,5.50E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73341333,6,96.72,99.73341333,5,-1,,,
9426,97.8700967,,98.30187825,7,,7,144.72,,144.88,5.26E-01,,5.75E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73339446,6,72.24,99.73339446,4,-2,,,
9432,97.8727781,,98.30478193,7,,7,144.92,,145.68,4.62E-01,,5.21E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73338923,6,34.64,99.73338923,2,-4,,,
9438,97.87480699,,98.30681518,7,,7,145.24,,143.4,5.26E-01,,5.01E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73337365,6,16.04,99.73337365,1,-5,,,
9444,97.87644076,,98.30813169,7,,7,144.28,,144.72,5.29E-01,,5.39E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73332213,6,2.92,99.73332213,1,-5,,,
9450,97.87850814,,98.30953891,7,,7,145.8,,143.96,5.56E-01,,5.56E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.7335574,6,0,99.7335574,0,-6,,,
9456,97.88211388,,98.31101789,7,,7,145.16,,144.08,5.36E-01,,5.15E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73352618,6,0,99.73352618,0,-6,,,
9462,97.88424459,,98.31331465,7,,7,143.96,,144.24,4.25E-01,,4.87E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.7335259,6,0,99.7335259,0,-6,,,
9468,97.88622276,,98.31534744,7,,7,145.28,,143.76,5.42E-01,,4.89E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73351869,6,0,99.73351869,0,-6,,,
9474,97.88792968,,98.31668189,7,,7,145.44,,145.08,5.63E-01,,5.57E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73346783,6,0,99.73346783,0,-6,,,
9480,97.88992581,,98.31810168,7,,7,144.88,,144.36,5.25E-01,,5.20E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73343171,5,0,99.73343171,0,-5,,,
9486,97.89354737,,98.31958607,7,,7,144.52,,145,5.42E-01,,5.33E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73339352,5,0,99.73339352,0,-5,,,
9492,97.89563312,,98.32234207,7,,7,144.8,,144.44,5.31E-01,,4.87E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.7333873,5,0,99.7333873,0,-5,,,
9498,97.89756633,,98.32430853,7,,7,142.72,,143.56,5.23E-01,,4.71E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73338086,5,1.16,99.73338086,1,-4,,,
9504,97.89606106,,98.32559106,7,,7,141.88,,142.68,4.47E-01,,5.65E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73337438,5,6,99.73337438,1,-4,,,
9510,97.89792174,,98.32701685,7,,7,142.56,,144.48,4.85E-01,,5.44E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73363598,5,7.24,99.73363598,1,-4,,,
9516,97.90148096,,98.32849233,7,,7,140.96,,143.2,5.09E-01,,5.09E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.7336598,4,10.2,99.7336598,1,-3,,,
9522,97.9035158,,98.33112708,7,,7,141.6,,143,4.97E-01,,5.22E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.7337221,4,19.8,99.7337221,1,-3,,,
9528,97.90543632,,98.33309603,7,,7,142.72,,143.12,5.16E-01,,4.92E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73390534,4,35.12,99.73390534,2,-2,,,
9534,97.9070126,,98.33433026,7,,7,140.8,,142.04,5.35E-01,,5.25E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73417029,4,60.24,99.73417029,3,-1,,,
9540,97.90898324,,98.33575806,7,,7,142.24,,141.52,5.44E-01,,4.97E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73424389,4,81.2,99.73424389,4,0,,,
9546,97.91244717,,98.33717965,7,,7,142.4,,141.56,5.37E-01,,5.45E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.73182149,4,99.84,99.73182149,5,1,,,
9552,97.91439504,,98.33963449,7,,7,140.68,,140.52,4.81E-01,,5.32E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.71951458,4,105.96,99.71951458,5,1,,,
9558,97.91626729,,98.34150383,7,,7,141.2,,141,5.72E-01,,5.56E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.70299889,4,103.32,99.70299889,5,1,,,
9564,97.91787033,,98.3428056,7,,7,139.84,,140.64,5.14E-01,,5.43E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.68376701,4,98.31196417,99.68376701,5,1,,,
9570,97.9198093,,98.34419064,7,,7,139.84,,140.8,4.88E-01,,4.77E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.68298687,4,93.32,99.68298687,5,1,,,
9576,97.92309391,,98.34560406,7,,7,139.12,,141.08,4.36E-01,,4.90E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.68321701,4,88.16,99.68321701,4,0,,,
9582,97.92480498,,98.34811749,7,,7,138.1967749,,141.28,4.27E-01,,5.51E-01,7,#DIV/0!,7,0,#DIV/0!,0,,,,,,,,,99.68325066,15,68.72,99.68325066,3,-12,,,
9588,97.92665293,,98.34990964,7,,7,137.84,,139.6,5.15E-01,,5.19E-01,6,#DIV/0!,7,1,#DIV/0!,0,,,,,,,,,99.68323057,15,41.9473969,99.68323057,2,-13,,,
9594,97.92823712,,98.35118307,7,,7,137.48,,138.4,5.22E-01,,5.20E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68327767,15,29.91198267,99.68327767,2,-13,,,
9600,97.93009902,,98.35251651,7,,7,137.16,,139,5.45E-01,,4.52E-01,6,#DIV/0!,7,1,#DIV/0!,0,,,,,,,,,99.68347584,15,29.51881067,99.68347584,2,-13,,,
9606,97.93319753,,98.35390921,7,,7,136.6768645,,137.4,5.17E-01,,4.98E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68384423,15,50.78473867,99.68384423,3,-12,,,
9612,97.93509036,,98.3563176,7,,7,137.24,,137.96,4.63E-01,,5.50E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68419955,15,80.622532,99.68419955,4,-11,,,
9618,97.93691501,,98.35811352,7,,7,136.56,,137.28,4.94E-01,,4.89E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68462555,15,111.714324,99.68462555,5,-10,,,
9624,97.93843503,,98.35931472,7,,7,135.24,,136.6,5.08E-01,,4.73E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68501958,14,131.56,99.68501958,6,-8,,,
9630,97.94012714,,98.36065018,7,,7,134.88,,136.24,4.96E-01,,5.02E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.6856893,14,138.16,99.6856893,7,-7,,,
9636,97.94322539,,98.36203197,7,,7,134.96,,136.12,5.06E-01,,5.35E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68612509,14,140.8,99.68612509,7,-7,,,
9642,97.94508457,,98.36431604,7,,7,133.96,,134.48,5.23E-01,,4.76E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68649798,14,142.2811953,99.68649798,7,-7,,,
9648,97.94685474,,98.36603759,7,,7,134.44,,134.16,5.08E-01,,4.61E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68687492,14,136.96,99.68687492,6,-8,,,
9654,97.94772984,,98.36733563,7,,7,133.64,,134.52,4.71E-01,,4.17E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68716103,14,126.72,99.68716103,6,-8,,,
9660,97.94942388,,98.36855478,7,,7,131.52,,133.08,4.27E-01,,4.68E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68731446,14,108.84,99.68731446,5,-9,,,
9666,97.95228276,,98.36987613,7,,7,130.56,,132.88,5.29E-01,,4.87E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68733512,14,75.84,99.68733512,4,-10,,,
9672,97.95396065,,98.37208676,7,,7,130.92,,132.92,4.52E-01,,4.97E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68728201,14,47,99.68728201,3,-11,,,
9678,97.95574236,,98.3737629,7,,7,130.88,,131.68,5.23E-01,,4.60E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68726152,14,19.68,99.68726152,1,-13,,,
9684,97.95720155,,98.37502938,7,,7,130.72,,131.52,5.09E-01,,4.32E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68721712,14,3.16,99.68721712,1,-13,,,
9690,97.95900265,,98.37604581,7,,7,130.8,,129.84,4.71E-01,,4.94E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68745002,14,0.04,99.68745002,1,-13,,,
9696,97.96169863,,98.37763703,7,,7,130.08,,129.72,4.98E-01,,4.93E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68744586,14,0,99.68744586,0,-14,,,
9702,97.96340352,,98.37951953,7,,7,128.28,,128.88,4.53E-01,,4.60E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68743268,13,0.52,99.68743268,1,-12,,,
9708,97.96508244,,98.3811438,7,,7,128.52,,129.64,4.89E-01,,4.70E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68743605,13,3.48,99.68743605,1,-12,,,
9714,97.96650913,,98.38231516,7,,7,128.08,,128.4,4.42E-01,,4.46E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68754051,13,17.32,99.68754051,1,-12,,,
9720,97.96820948,,98.38348696,7,,7,127.36,,127.68,4.19E-01,,4.55E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68780793,13,40.6,99.68780793,2,-11,,,
9726,97.9709421,,98.38501207,7,,7,127.08,,128.88,4.50E-01,,4.41E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.6882571,13,81.4,99.6882571,4,-9,,,
9732,97.97260325,,98.38686646,7,,7,125.12,,127.96,4.60E-01,,4.68E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68865636,13,111.64,99.68865636,5,-8,,,
9738,97.97426913,,98.38839383,7,,7,125.08,,126.48,4.48E-01,,4.34E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68907046,13,137.32,99.68907046,6,-7,,,
9744,97.97568128,,98.38957617,7,,7,125.08,,126.28,4.62E-01,,3.96E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.68950965,12,147.84,99.68950965,7,-5,,,
9750,97.97730534,,98.39070514,7,,7,124.72,,125.16,5.05E-01,,4.37E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.69017924,12,149.84,99.69017924,7,-5,,,
9756,97.98004076,,98.39217081,7,,7,126.16,,125,4.68E-01,,4.88E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.69058068,12,147.76,99.69058068,7,-5,,,
9762,97.98142552,,98.39393104,7,,7,120.56,,123.92,4.95E-01,,4.22E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.69098434,12,148.92,99.69098434,7,-5,,,
9768,97.98307713,,98.39549069,7,,7,121.48,,124.32,4.00E-01,,4.61E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.6914296,12,149.88,99.6914296,7,-5,,,
9774,97.98439711,,98.39660911,7,,7,121.72,,123.88,4.66E-01,,4.84E-01,6,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.69177331,12,142.8,99.69177331,7,-5,,,
9780,97.98607146,,98.39770701,6,,7,120.68,,122.76,5.10E-01,,4.52E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69183445,12,116.08,99.69183445,6,-6,,,
9786,97.98872952,,98.39915183,6,,7,120.6,,121.8,4.87E-01,,4.46E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69179579,12,76.88,99.69179579,4,-8,,,
9792,97.99005544,,98.40084472,6,,7,118.88,,122.24,5.17E-01,,3.60E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69180763,12,42.36,99.69180763,2,-10,,,
9798,97.99162693,,98.40224027,6,,7,119.48,,119.96,4.72E-01,,4.69E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69187115,12,21.04,99.69187115,1,-11,,,
9804,97.99314875,,98.40338044,6,,7,117.68,,120.28,5.52E-01,,4.37E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69193337,12,20.48,99.69193337,1,-11,,,
9810,97.9950107,,98.40440086,6,,7,117.04,,118.12,4.47E-01,,4.31E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69228955,11,30.64,99.69228955,2,-9,,,
9816,97.99696863,,98.40608873,6,,7,115.84,,116.96,5.36E-01,,3.98E-01,6,#DIV/0!,6,0,#DIV/0!,1,,,,,,,,,99.69237074,11,36.6,99.69237074,2,-9,,,
9822,97.99846039,,98.4075806,6,,7,113.2,,117.08,5.23E-01,,3.67E-01,5,#DIV/0!,6,1,#DIV/0!,1,,,,,,,,,99.69247105,11,37,99.69247105,2,-9,,,
9828,,,98.40879682,,,7,,,116.44,,,4.46E-01,#DIV/0!,#DIV/0!,6,#DIV/0!,#DIV/0!,1,,,,,,,,,99.69255721,11,38.48,99.69255721,2,-9,,,
9834,,,98.40981346,,,7,,,115.12,,,4.22E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.6925478,11,31.44,99.6925478,2,-9,,,
9840,,,98.41082787,,,7,,,114.92,,,3.92E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69254566,11,24.52,99.69254566,2,-9,,,
9846,,,98.41242287,,,7,,,113.48,,,4.02E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69260747,11,24.64,99.69260747,2,-9,,,
9852,,,98.41385995,,,7,,,111.44,,,3.72E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69289241,10,39.88,99.69289241,2,-8,,,
9858,,,98.41497563,,,7,,,111.76,,,4.37E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69327781,10,71.2,99.69327781,4,-6,,,
9864,,,98.41602493,,,7,,,111.04,,,3.81E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69365559,10,103.76,99.69365559,5,-5,,,
9870,,,98.41702376,,,7,,,111.4,,,3.93E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69436738,10,137.52,99.69436738,6,-4,,,
9876,,,98.41881393,,,7,,,110.96,,,3.91E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69472486,10,149.1634933,99.69472486,7,-3,,,
9882,,,98.41992032,,,7,,,109.68,,,3.77E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.6951514,10,151.2,99.6951514,7,-3,,,
9888,,,98.42100461,,,7,,,108.24,,,4.12E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69557346,10,149.68,99.69557346,7,-3,,,
9894,,,98.42196153,,,7,,,106.8,,,4.23E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69579542,9,138.6,99.69579542,7,-2,,,
9900,,,98.42291578,,,7,,,107.56,,,3.96E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69577961,9,96.2,99.69577961,5,-4,,,
9906,,,98.42460245,,,7,,,105.2,,,3.65E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69574282,9,67.64,99.69574282,3,-6,,,
9912,,,98.42569306,,,7,,,104.68,,,3.64E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69573617,9,26.04,99.69573617,2,-7,,,
9918,,,98.42667753,,,7,,,104.08,,,3.58E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69569618,9,1.69528,99.69569618,1,-8,,,
9924,,,98.42757989,,,7,,,101.64,,,3.43E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69564782,9,0,99.69564782,0,-9,,,
9930,,,98.42853548,,,7,,,103.28,,,3.82E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69590198,9,0,99.69590198,0,-9,,,
9936,,,98.43012943,,,7,,,102.08,,,3.78E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69595073,9,6.08,99.69595073,1,-8,,,
9942,,,98.43116873,,,7,,,101.96,,,3.69E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69628752,8,40.72,99.69628752,2,-6,,,
9948,,,98.43211415,,,7,,,100.12,,,3.60E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.6967015,8,77.6,99.6967015,4,-4,,,
9954,,,98.43300542,,,7,,,98.4,,,3.53E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69705014,8,107.16,99.69705014,5,-3,,,
9960,,,98.43383622,,,7,,,97.88,,,3.35E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69749651,8,145.96,99.69749651,7,-1,,,
9966,,,98.43535907,,,7,,,96.08,,,3.36E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69785729,8,147.72,99.69785729,7,-1,,,
9972,,,98.43637117,,,7,,,96.48,,,3.53E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69826245,8,149.52,99.69826245,7,-1,,,
9978,,,98.43724789,,,7,,,94.84,,,3.61E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69858733,8,141.96,99.69858733,7,-1,,,
9984,,,98.43808186,,,7,,,94,,,3.32E-01,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69873682,8,128.4,99.69873682,6,-2,,,
9990,,,98.43891951,,,7,,,91.09,,,3.41E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,3,,,,,,,,,99.6992016,8,105.12,99.6992016,5,-3,,,
9996,,,98.4402138,,,6,,,91.28,,,3.61E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69938296,8,88.92,99.69938296,4,-4,,,
10002,,,98.44119545,,,6,,,90.6,,,3.29E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.6995685,8,74.36,99.6995685,4,-4,,,
10008,,,98.44209599,,,6,,,90.28,,,3.75E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69971335,8,69.36,99.69971335,4,-4,,,
10014,,,98.44288963,,,6,,,89.96,,,3.84E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69982777,8,64.92,99.69982777,3,-5,,,
10020,,,98.44373945,,,6,,,88.6,,,3.96E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69987165,8,52.12,99.69987165,3,-5,,,
10026,,,98.44495951,,,6,,,88.68,,,3.18E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69987298,8,37.2,99.69987298,2,-6,,,
10032,,,98.44574909,,,6,,,83.76,,,3.53E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69983114,8,19.92,99.69983114,1,-7,,,
10038,,,98.44659799,,,6,,,85.36,,,3.73E-01,#DIV/0!,#DIV/0!,4,#DIV/0!,#DIV/0!,2,,,,,,,,,99.69979911,8,9.639862411,99.69979911,1,-7,,,
