,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
252,99.72573296,99.59144183,99.54705793,2,2,3,41.76,42.56,41.6,5.80E-01,3.44E-01,3.65E-01,2,2,2,0,0,1,98,7,1.040816327,1.07,1.08,,0.65,,68.93046332,9,29.52,68.93046332,2,-7,0.75,,
258,99.73736247,99.60410477,99.57003234,2,2,3,43,43.52,42.52,5.68E-01,5.90E-01,3.95E-01,2,2,2,0,0,1,98,7,,,,,0.65,,73.87072673,9,71.84,73.87072673,5,-4,0.75,,
264,99.71597924,99.61633275,99.602596,2,2,3,43.2,44.08,44.24,5.33E-01,5.40E-01,4.33E-01,2,2,2,0,0,1,98,7,,,,,0.65,,75.85668015,9,87.68,75.85668015,6,-3,0.75,,
270,99.72464975,99.43908521,99.61717287,2,2,3,43.92,44.32,45.24,6.75E-01,5.34E-01,4.44E-01,2,2,2,0,0,1,98,7,,,,,0.65,,76.86413596,9,97.32,76.86413596,6,-3,0.75,,
276,99.73263232,99.09903107,99.63045744,2,2,3,44.72,42.88,45.6,6.75E-01,6.28E-01,3.51E-01,2,2,2,0,0,1,98,7,,,,,0.65,,77.35361052,9,78.64,77.35361052,5,-4,0.75,,
282,99.74090727,99.12491814,99.64348082,2,2,3,45.92,42.88,45.92,5.35E-01,6.91E-01,4.37E-01,2,2,2,0,0,1,98,7,,,,,0.65,,77.29204241,9,42.92,77.29204241,3,-6,0.75,,
288,99.7517282,99.15158027,99.66031737,2,2,3,46.72,43.88,47.72,5.93E-01,6.91E-01,4.04E-01,2,2,3,0,0,0,98,7,,,,,0.65,,77.29102488,9,16.2775366,77.29102488,1,-8,0.75,,
294,99.76891993,99.17652517,99.67977431,2,2,3,48.48,45.96,48.72,7.43E-01,5.71E-01,4.27E-01,3,2,3,-1,0,0,98,7,,,,,0.65,,77.21473843,9,4.839403479,77.21473843,1,-8,0.75,,
300,99.7247245,99.13547051,99.69038331,2,2,3,48.76,47.24,49.56,6.32E-01,7.04E-01,4.60E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.24974503,9,0.24,77.24974503,1,-8,0.75,,
306,99.7327118,99.20038737,99.70104376,2,2,3,49.92,51.24,51.2,6.35E-01,7.11E-01,4.54E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.31188783,21,0,77.31188783,0,-21,0.75,,
312,99.74050564,99.19813916,99.71343494,2,2,3,51.36,50.88,51.28,6.37E-01,6.86E-01,4.16E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.25673063,21,0,77.25673063,0,-21,0.75,,
318,99.75032427,99.2198278,99.72706296,2,2,3,52.64,51.6,52.96,6.27E-01,6.28E-01,3.89E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.26086909,21,0,77.26086909,0,-21,0.75,,
324,99.6792363,99.24086712,99.73646965,2,2,3,53.2,52.92,54.24,7.27E-01,5.52E-01,4.73E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.18519735,21,0,77.18519735,0,-21,0.75,,
330,99.68701915,99.26215282,99.74425592,2,2,3,53.04,54.44,54.28,7.51E-01,7.17E-01,5.08E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.21260203,21,0,77.21260203,0,-21,0.75,,
336,99.4793804,99.31096901,99.74134357,2,2,3,51.88,56.36,54.72,6.53E-01,6.60E-01,5.31E-01,3,3,3,-1,-1,0,98,7,,,,,0.65,,77.22044158,21,0,77.22044158,0,-21,0.75,,
342,99.16072567,99.30837034,99.75181476,3,2,3,53.42358333,56.52,56.2,5.67E-01,6.15E-01,5.83E-01,3,3,3,0,-1,0,98,7,,,,,0.65,,77.22017712,21,0,77.22017712,0,-21,0.75,,
348,99.02693696,99.32582366,99.76232652,3,2,3,52.67176667,57.08,57.2,5.21E-01,4.98E-01,4.68E-01,3,3,3,0,-1,0,98,7,,,,,0.65,,77.26639439,21,0.303304,77.26639439,1,-20,0.75,,
