,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,9468,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,#REF!,#REF!,0.75,73,76
60,83.27386085,81.75829131,94.48589348,1,1,1,23.125,23.2,25.55,6.87E-01,0.7705942772,0.8850083647,2,2,2,-1,-1,-1,97,7,-51,-98,-8,DivUnder,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
66,74.49179383,74.95438751,84.63417325,1,1,1,24.725,24.85714286,26.15,7.88E-01,0.8193218125,0.9251405747,2,2,2,-1,-1,-1,97,7,65,117,1056,DivOver,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
72,67.71491197,66.68724421,75.77475824,1,1,1,25.9,24.4787581,27.14285714,6.25E-01,0.9050066333,0.9495892638,2,2,2,-1,-1,-1,97,7,335,1588,2419,Total,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
78,62.10281259,61.44178076,69.91769061,1,1,4,26.775,23.925,30.1592346,9.87E-01,0.7304044577,0.2624096301,2,2,2,-1,-1,2,97,7,1.04,1.01,1.76,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
84,57.51356714,61.44138833,64.45282833,1,1,4,27.45714286,20.75917143,33.14677556,9.87E-01,1.00046647,0.2999801506,2,2,3,-1,-1,1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
90,54.23202153,57.66959146,61.96495794,1,1,4,24.83888762,20.35,38.31188508,9.90E-01,1.00046647,0.3044723993,2,2,3,-1,-1,1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
96,54.0523186,57.62314824,66.5853283,1,7,4,21.38033333,19.00185608,41.23189206,1.00E+00,0.1669643846,0.2854136605,2,2,3,-1,5,1,97,7,Bendras,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
102,54.25119382,66.61271156,69.54663399,1,7,4,17.575,21.88562867,42.66803056,1.00E+00,0.1463796236,0.3695306706,2,2,3,-1,5,1,97,7,,3890,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
108,54.34925423,69.24255279,72.33805839,1,7,4,14.075,24.93511467,46.38291111,1.00E+00,0.1773831842,0.3338815836,2,2,3,-1,5,1,97,7,1723,12012,9468,eta,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
114,54.39776503,72.46503782,75.59993278,1,7,4,8.171428571,30.24160127,49.58574667,6.02E-01,0.1937648572,0.3904872806,1,2,3,0,5,1,97,7,832,1283,10565,divTotal,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
120,54.49884476,74.93342982,77.45535809,2,7,4,5.649103175,35.50157611,51.175,5.00E-01,0.1905544573,0.4393026629,1,2,3,1,5,1,97,7,-517,-931,-8,DivUnder,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
126,54.59685245,77.83382537,79.01376562,1,7,4,2.875094603,40.40616778,50.65,2.89E-04,0.2211775973,0.442310831,1,3,3,0,4,1,97,7,315,352,10557,DivOver,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
132,53.76290861,79.46285394,80.41678082,1,7,4,3.7,47.09826056,50.225,2.89E-04,0.2365320718,0.4414464704,1,3,3,0,4,1,97,7,1511,11423,20007,Total,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
138,53.76217428,80.85752152,81.57754511,1,7,4,3.6,50.7,50.2,1.93E-01,0.2044718068,0.468746588,1,3,3,0,4,1,97,7,0.88,0.95,2.11,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
144,57.17039896,81.99697477,83.13481546,2,7,4,7.2,51.175,49.875,6.24E-01,0.2453873636,0.4413738139,1,3,3,1,4,1,97,7,Tgt,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
150,59.57861013,83.06306903,84.03999966,2,7,4,10.42777778,49.9,50.075,5.81E-01,0.2743077742,0.4073999124,1,3,3,1,4,1,97,7,0,0,6945,Over,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
156,60.17893754,84.43301941,84.79855811,1,7,4,11.55833333,49.9,50.175,6.18E-01,0.2411656429,0.4559512893,1,3,3,0,4,1,97,7,0,0,0,Under,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
162,60.17844197,85.28417751,85.53231278,1,7,4,9.025,50.45,50.65,7.09E-01,0.245764687,0.4025584235,1,3,3,0,4,1,97,7,Below tgt,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
168,60.17798009,86.02068753,86.1989957,1,7,4,8.925,50.35,51.775,6.75E-01,0.2369941765,0.3863790735,1,3,3,0,4,1,97,7,315,352,3612,Over,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
174,60.18003592,86.75622198,87.1784329,1,7,4,7.7,50.75,53.45,9.50E-01,0.2625228631,0.4721020018,1,3,3,0,4,1,97,7,-517,-931,-8,Under,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
180,60.69302996,87.54453788,87.74838125,2,7,4,7.725,53.125,54.8,4.25E-01,0.2708026039,0.4291856612,1,3,3,1,4,1,97,7,1022,1022,244,<98,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
186,59.13049636,88.46078279,88.35545897,1,7,4,7.125,55.075,56.375,3.24E-02,0.2414159353,0.3977220241,1,3,3,0,4,1,97,7,0,0,778,>98,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
192,53.82396742,89.01895682,88.86148062,1,7,4,5.38008286,56.7,60.1,1.11E-01,0.2526097561,0.4942818962,1,3,3,0,4,1,97,7,0,0,76.2,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
198,53.5365746,89.53805162,89.34009976,2,7,4,4.258068526,58.425,62.95,6.55E-01,0.2893432909,0.5317985635,1,3,3,1,4,1,97,7,Loss,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
204,54.19855459,90.07725265,90.0943263,2,6,4,7.254192053,61.73674095,66.425,6.07E-01,0.3014331746,0.5355515114,1,3,3,1,3,1,97,7,96,0,0,support,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
210,51.9065789,90.60297463,90.53290043,2,6,4,11.46312098,65.55015407,68.9,5.20E-01,0.3670629815,0.5729243579,1,3,4,1,3,0,97,7,93,2,0,recovery,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
216,52.64834073,91.24284509,90.98010759,1,6,4,11.2891449,68.275,71.075,3.35E-01,0.3660835523,0.4876701587,1,4,4,0,2,0,97,7,96,1,0,bendras,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
222,52.53771617,91.67899043,91.36031841,1,6,4,11.05486351,71.775,74.6,6.96E-01,0.4026663738,0.6101901578,1,4,4,0,2,0,97,7,6845.812029,183340.1087,184242.7886,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
228,52.44892142,92.04877728,91.7295619,1,6,4,6.851712928,74.3,77.275,8.67E-01,0.4200593957,0.593085604,1,4,4,0,2,0,97,7,2063.604084,29188.57828,29749.00023,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
234,53.0702948,92.41837956,92.26924954,1,6,4,6.075,77,80.95,7.19E-01,0.4041601757,0.6420076237,1,4,4,0,2,0,97,7,8909.416113,212317.512,213771.1139,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
240,53.06374555,92.77582955,92.57498987,2,6,4,4.857142857,79.775,84.1,3.91E-01,0.4551288674,0.6831015719,1,4,4,1,2,0,97,7,21.25,0.94,2.17,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
246,52.27760486,93.24531841,92.89499349,1,6,4,3.135228148,83.525,86.4,4.80E-02,0.4360158216,0.7092496113,1,4,4,0,2,0,97,7,14.85714286,1.030612245,1.76,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
252,51.13389722,93.54239836,93.19411524,1,6,4,2.266666667,86.65,90.3,4.51E-02,0.4687983212,0.6795664816,1,4,4,0,2,0,97,7,22,0.9595959596,2.11,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
258,51.1507895,93.808045,93.353281,2,6,4,2.19504,89.275,92.3,5.22E-01,0.4746459916,0.6871312861,1,4,4,1,2,0,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
264,51.44975701,94.08295058,93.47249258,2,5,4,3.415728821,92.7,95.2,7.10E-01,0.5458832529,0.7920283123,1,4,5,1,1,-1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
270,49.84361413,94.33067616,93.71424621,2,5,4,7.67962963,94.35488889,96.525,7.33E-01,0.5905140922,0.7511681939,1,5,5,1,0,-1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
276,50.43124679,94.63622822,93.96080739,1,5,4,8.981424709,96.175,98,6.47E-01,0.6055605153,0.8312258638,1,5,5,0,0,-1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
282,50.50369276,94.83956234,93.61745541,1,5,4,5.465468478,98.225,99.325,7.17E-01,0.6386091419,0.8856229335,1,5,5,0,0,-1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
288,50.51743704,95.01010987,93.44251531,1,5,4,5.773738067,98.8,100.025,6.74E-01,0.6740873058,0.7510654865,1,5,5,0,0,-1,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
294,50.45918586,95.18355488,93.73277821,1,5,8,5.05,100,99.89326667,9.88E-01,0.6686050262,0.6806975098,1,5,5,0,0,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
300,50.45490067,95.35864366,93.9177447,2,5,8,4.95,100,100.0073578,5.32E-01,0.739478564,0.5040732007,1,5,5,1,0,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
306,50.47699629,95.57371299,93.82835415,1,5,8,1.920888889,100.3,100.899936,4.56E-02,0.7164304309,0.4114350015,1,5,5,0,0,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
312,48.21318927,95.7071533,94.03734934,1,5,8,3.474074074,99.625,98.79524508,1.51E-01,0.703297208,0.4606443402,1,5,5,0,0,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
318,47.6910768,95.8269281,94.24080283,2,5,8,4.525,100.35,99.86786907,6.74E-01,0.7028121509,0.4308280256,1,5,5,1,0,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
324,47.38793317,95.949447,94.45884479,2,5,12,6.489895115,100.425,96.66273056,6.04E-01,0.6825534807,0.2722496459,1,5,5,1,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
330,47.3411743,96.06842628,94.60745797,2,5,12,6.47332,100.35,97.69094144,5.70E-01,0.6902792803,0.3009814401,1,5,5,1,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
336,47.76665898,96.22834021,94.77927033,1,5,12,6.646653573,100.025,101.5652228,3.96E-01,0.6500158663,0.2832164555,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
342,48.77884107,96.33308432,94.9220068,1,5,12,8.193244716,101.1,100.6138882,7.35E-01,0.6450132163,0.2798128933,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
348,48.77024897,96.42449118,95.06348563,1,5,12,5.061387483,101.8,102.7392333,8.80E-01,0.6998377959,0.2738844209,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
354,48.76173658,96.49738424,95.23070777,1,5,12,3.951188148,103.475,104.4195967,9.80E-01,0.7624570015,0.3093104417,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
360,48.75329202,96.59933619,95.36129905,2,5,12,2.718390476,105.65,108.3234289,5.50E-01,0.7421182056,0.3024128441,1,5,5,1,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
366,48.71374256,96.72379705,95.49093155,1,5,12,3.883666667,108.35,112.05,1.19E-01,0.7017313582,0.2886596218,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
372,48.87344921,96.74663553,95.61098856,1,5,12,4.078292713,111.5,114.65,2.49E-01,0.7258733006,0.3351572652,1,5,5,0,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
378,48.88195118,96.82847152,95.72977336,2,5,12,3.555681778,113.95,118.525,5.31E-01,0.7855122157,0.3408198631,1,5,6,1,0,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
384,47.52291577,96.89104259,95.87344734,2,5,12,5.836161008,117.1,121.375,4.67E-01,0.8053963693,0.3348517105,1,5,6,1,0,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
390,47.56724804,96.65337784,95.983508,2,5,12,7.02006963,120.8,122.975,5.62E-01,0.8399187667,0.3549483461,1,6,6,1,-1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
396,47.70717754,96.4980128,96.09761056,1,5,12,9.113382204,123.125,126.35,6.82E-01,0.7147145215,0.3484624208,1,6,6,0,-1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
402,46.56906435,96.05289897,96.19322949,1,5,12,9.45912578,124.9,130.15,8.25E-01,0.8373420751,0.3764881012,1,6,6,0,-1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
408,46.5749604,95.47289733,96.29544046,1,5,12,9.915702243,127.825,133.1,8.51E-01,0.873162599,0.3676042925,1,6,6,0,-1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
414,46.55037006,94.86195813,96.42019632,1,5,12,8.675,128.7715333,136.325,1.00E+00,0.866331989,0.3822171624,1,6,6,0,-1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
420,46.63739227,93.70939397,96.5127966,2,7,12,8.8,133.7288722,138.875,4.99E-01,0.6385091987,0.3900900067,1,6,6,1,1,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
426,46.64617149,93.54407822,96.60814943,1,7,12,5.647210159,139.7810102,142.35,1.75E-01,0.6537808904,0.3611967527,1,7,6,0,0,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
432,46.48606962,93.71300648,96.69226819,1,7,12,4.24,141.5708759,144,2.04E-01,0.6412752582,0.4161021904,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
438,46.49298785,93.85969575,96.80155597,2,7,12,3.940251231,143.9184038,145.5432296,5.61E-01,0.6466017056,0.4268815726,1,7,7,1,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.75,,
444,46.38563012,94.04701797,96.87640275,2,7,12,2.485659825,144.7979889,147.925,5.48E-01,0.6762059655,0.4157097581,1,7,7,1,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
450,46.33644925,94.14428429,96.9480943,2,7,12,2.398054815,146.9652867,148.55,6.62E-01,0.7121972724,0.4126083508,1,7,7,1,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
456,46.37300762,94.30962793,97.02666484,1,7,12,2.628637037,149.4228378,149.65,7.03E-01,0.6849488859,0.4265528951,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
462,45.7676726,94.44132981,97.09245146,1,7,12,5.035011671,151.175,148.6009732,7.03E-01,0.7325342588,0.4422340653,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
468,44.37772831,94.54841199,97.17830427,1,7,12,8.127031758,149.8821429,150.45,7.91E-01,0.7761057305,0.4329046886,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
474,44.40611456,94.69295393,97.23507181,1,7,12,8.2,150.075,150.075,7.18E-01,0.7048502539,0.432683892,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
480,44.23206568,94.82601718,97.29625352,2,7,12,8.625,150.325,149.25,6.68E-01,0.7665764025,0.4590689709,1,7,7,1,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
486,43.0098451,94.91197808,97.35489172,1,7,12,10.15192889,150.075,149.65,3.40E-01,0.7969726202,0.4084371743,1,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
492,41.62692776,94.95089648,97.40681986,1,7,12,13.29238688,150,149.825,5.03E-01,0.7768953347,0.4659065483,2,7,7,-1,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
498,41.69405815,95.04502033,97.47568184,2,7,12,13.07263201,149.95,153.9,7.87E-01,0.7561533998,0.4553026613,2,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
504,41.72986932,94.64896668,97.52351697,2,7,12,11.20952381,152.2821429,159.3,8.50E-01,0.7437462928,0.4357528786,2,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
510,41.22598039,94.5579452,97.57863684,2,7,12,12.43148148,155.0071429,166.9,7.06E-01,0.7410642193,0.4720015925,2,7,7,0,0,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
516,41.12621336,93.68947254,97.63298523,1,8,12,12.9781226,160.4282383,170.275,5.96E-01,0.6496586631,0.4367367159,2,7,8,-1,1,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
522,41.14526398,92.39890276,97.58986018,1,8,12,11.43888889,168.5543667,177.325,7.88E-01,0.7211169436,0.5189653531,2,8,8,-1,0,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
528,40.62147314,92.14609519,97.56088245,2,8,12,11.33218885,171.8354368,183.675,5.00E-01,0.7680512005,0.4952394062,2,8,8,0,0,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
534,38.80963289,90.48219263,97.60245918,2,8,12,11.80780571,182.4650286,182.725,4.14E-01,0.727093527,0.5155139555,2,9,8,0,-1,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
540,39.81012446,90.20407452,97.49037555,3,8,12,11.49188381,180.8491444,184.925,3.91E-01,0.7097918351,0.5615651177,2,9,8,1,-1,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
546,39.77332549,89.75812132,97.47059001,2,8,12,9.701493333,184.4709967,184.375,3.95E-01,0.7282521955,0.5324368262,1,9,8,1,-1,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
552,39.22369703,89.82226136,97.47576609,2,8,12,13.69768508,185.0821667,192.6986932,4.55E-01,0.7676643686,0.5425946281,2,9,8,0,-1,4,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
558,39.23247186,89.08669757,97.48389476,3,8,12,11.52903875,181.1734032,199.475,6.44E-01,0.815113086,0.5472727174,2,9,9,1,-1,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
564,38.82592121,86.73446691,96.75846255,3,8,12,13.85633206,190.8196171,196.525,5.72E-01,0.76875258,0.5864950791,2,9,9,1,-1,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
570,38.12797746,85.20235828,96.61032735,3,8,12,12.69185397,196.075,192.05,7.56E-01,0.800512206,0.593231576,2,10,9,1,-2,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
576,38.20323859,84.76394229,96.67495504,2,8,12,11.57048698,194.5392857,203.975,8.11E-01,0.8467323631,0.580175138,2,10,9,0,-2,3,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
582,38.00389926,84.22802304,96.71641169,2,8,15,14.41377587,192.3,218.0753933,7.84E-01,0.824183296,0.4932318217,2,10,10,0,-2,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
588,37.07758631,82.85073216,95.99687274,1,8,15,15.02226222,193.4071714,217.8141013,9.99E-01,0.8701640466,0.5102926251,2,10,10,-1,-2,5,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
594,37.23480981,81.96564805,95.95162642,1,8,15,15.62508751,184.8752766,204.669271,9.99E-01,0.8775427373,0.4922766297,2,10,9,-1,-2,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
600,37.20872526,79.82622343,95.71867285,2,8,15,15.00714286,202.7395186,195.4073956,6.30E-01,0.8363417862,0.4780375321,2,11,9,0,-3,6,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
606,37.45385696,78.41810026,95.75959029,2,8,15,13.14754413,194.546403,187.0166633,6.70E-01,0.8025739676,0.4478385734,2,11,8,0,-3,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
612,37.12877074,78.4462119,95.79331189,2,10,17,13.08833333,183.4475611,206.7278839,6.40E-01,0.7671542257,0.3937420631,2,10,9,0,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
618,36.43278741,78.19601633,95.85447664,3,10,17,16.20157613,196.6628996,195.2038367,7.53E-01,0.6892555897,0.3957334607,2,11,9,1,-1,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
624,36.79168534,76.8387968,95.83494885,2,10,17,13.67948254,196.9658086,173.6224098,8.08E-01,0.6983642028,0.3679918502,2,11,8,0,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
630,36.08592601,76.79098117,95.71680243,2,10,17,18.79414902,182.0559422,190.3414317,6.96E-01,0.6385471397,0.3948724677,3,10,9,-1,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
636,36.06601568,76.97693474,95.74640168,1,10,17,20.42128,192.2741918,190.5324983,7.21E-01,0.62582052,0.3780180345,3,11,9,-2,-1,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
642,35.72470457,76.16482075,95.81694375,2,11,17,19.65,201.0574933,211.4620606,8.13E-01,0.6060745981,0.3906762372,3,11,9,-1,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
648,34.75627846,76.347432,95.74324798,2,11,17,25.475,203.5606589,204.6903111,7.11E-01,0.5531575971,0.4291658616,3,11,9,-1,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
654,34.8047967,76.77252257,95.81878485,2,11,17,19.51048,211.0343156,177.95,6.71E-01,0.5606136266,0.4231601944,3,12,8,-1,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
660,35.07480973,76.93783994,95.88080426,3,11,17,14.10277778,191.2885081,187.55,5.18E-01,0.6692067924,0.420826482,2,11,8,1,0,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,99.02290099,
666,34.78399651,77.29662185,95.91121084,2,11,17,17.13401741,185.1980317,202.225,4.46E-01,0.6398417347,0.3888952348,2,10,9,0,1,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
672,33.85885604,77.37133353,95.98182433,2,11,17,20.27094328,204.4428,189.825,6.03E-01,0.6092132715,0.409682128,3,11,8,-1,0,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
678,33.69323547,77.56750493,96.05121074,3,11,17,20.86507642,192.3919803,206.5464443,6.77E-01,0.6222800664,0.3958996108,3,11,9,0,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
684,33.58311888,76.56232267,96.02788583,3,11,17,16.3743994,203.15,193.925,7.59E-01,0.5893811474,0.426937639,2,11,9,1,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
690,33.27489998,76.53189025,95.80444332,3,11,17,15.59351852,196.175,197.775,7.72E-01,0.6041807328,0.4259862097,2,11,9,1,0,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
696,34.00566902,76.84862511,95.84230645,2,11,17,17.74769085,198.0928571,223.175,8.74E-01,0.5651965806,0.4179472616,3,11,10,-1,0,7,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
702,33.97669731,76.91272231,95.89367184,2,11,17,16.84270159,220.45,211.525,7.22E-01,0.6479721227,0.447322113,3,12,9,-1,-1,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.78,,
