-6,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,
270,52.90603972,94.87729663,91.91549992,3,19,14,51.88,52.44,62.32,0.2104207415,7.06E-02,0.1195671164,5,3,3,-2,16,11,98,7,,,,,0.65,,,,,,,,0.7
276,53.43107109,95.03311833,92.18595876,3,19,14,59.88,75.16,86.48,0.2167500019,9.58E-02,0.1218070822,5,4,4,-2,15,10,98,7,,,,,0.65,,,,,,,,0.7
282,54.04674274,95.20124673,92.44472558,3,19,14,66.4,95.63940007,104.44,0.6241181566,1.22E-01,0.178038713,6,5,5,-3,14,9,98,7,,,,,0.65,,,,,,,,0.7
288,54.90205702,95.36888171,92.71014367,3,19,14,65.52,111.32,119.68,0.580694148,1.49E-01,0.1874169249,6,5,6,-3,14,8,98,7,,,,,0.65,,,,,,,,0.7
294,55.21370455,95.57950789,93.02340848,3,18,14,66.32,126.88,132.92,0.775979036,2.02E-01,0.240085797,6,6,7,-3,12,7,98,7,,,,,0.65,,,,,,,,0.7
300,54.37194553,95.73156361,93.27633032,3,18,14,66.48,135.12,138.6,0.6466417451,2.25E-01,0.2677371847,6,7,7,-3,11,7,98,7,,,,,0.65,,,,,,,,0.7
306,54.55447374,95.879954,93.51693389,3,18,14,65.76,141.0408689,143.16,0.7459112837,2.26E-01,0.253517681,6,7,7,-3,11,7,98,7,,,,,0.65,,,,,,,,0.7
312,54.99802181,96.0217572,93.72181716,3,18,14,68.92,144.48,145.8,0.7677229153,2.36E-01,0.2975347146,6,7,7,-3,11,7,98,7,,,,,0.65,,,,,,,,0.7
318,55.56977715,96.14055482,93.90533827,3,18,14,63.72,144.28,143.2,0.7202095911,2.34E-01,0.2813466877,5,7,7,-2,11,7,98,7,,,,,0.65,,,,,,,,0.7
324,56.16456538,96.28739107,94.10549195,3,18,14,63,141.72,140.44,0.8516022351,2.44E-01,0.2857103192,5,7,7,-2,11,7,98,7,,,,,0.65,,,,,,,,0.7
330,56.02403077,96.37749072,94.26600298,3,17,14,59.96,137.08,134.36,0.6932728264,2.47E-01,0.2836122882,5,7,7,-2,10,7,98,7,,,,,0.65,,,,,,,,0.7
336,56.1500117,96.45768354,94.37187987,3,17,14,58.28,126.16,118.96,0.6713215587,2.51E-01,0.2705798756,5,6,6,-2,11,8,98,7,,,,,0.65,,,,,,,,0.7
342,56.70111429,96.51455894,94.4505358,3,17,14,62.52,112.52,104.84,0.6783446444,2.17E-01,0.2702582617,5,5,5,-2,12,9,98,7,,,,,0.65,,,,,,,,0.7
348,58.25381344,96.55624258,94.50250978,3,17,14,64.68,96.12,86.8,0.6252763568,1.92E-01,0.2098549814,5,5,4,-2,12,10,98,7,,,,,0.65,,,,,,,,0.7
354,59.26177834,96.61119678,94.55923414,3,17,14,62.4,76.56,65.4,0.6853503116,1.72E-01,0.1707358065,5,4,3,-2,13,11,98,7,,,,,0.65,,,,,,,,0.7
360,59.91638379,96.62391816,94.59612878,3,17,14,52.44,57.12,47.4,0.5938366734,1.31E-01,0.1187543325,4,3,3,-1,14,11,98,7,,,,,0.65,,,,,,,,0.7
366,59.948503,96.61488137,94.57366499,3,17,14,39.48,34.16,26.6,0.5167567534,1.03E-01,0.08033735113,3,2,2,0,15,12,98,7,,,,,0.65,,,,,,,,0.7
372,60.120507,96.61981559,94.59846283,3,17,14,28.04,22.56,19.53,0.391119716,5.47E-02,0.05083255805,2,1,1,1,16,13,98,7,,,,,0.65,,,,,,,,0.7
378,60.84387698,96.63982529,94.63430152,3,17,14,23.64,20.2,21.92,0.3273860532,4.78E-02,0.04079420744,2,1,1,1,16,13,98,7,,,,,0.65,,,,,,,,0.7
384,61.89081079,96.69686396,94.72093857,3,17,14,33.24,27.24,34.88,0.2947197188,5.84E-02,0.05134210346,3,2,2,0,15,12,98,7,,,,,0.65,,,,,,,,0.7
390,63.11762148,96.74475834,94.81804153,3,17,14,51.84,45.32,52.88,0.201887517,9.15E-02,0.09087353256,4,2,3,-1,15,11,98,7,,,,,0.65,,,,,,,,0.7
396,63.65875736,96.80454163,94.923162,3,16,14,64.12,70.11951046,78.16,0.3159144509,1.13E-01,0.1045429833,5,4,4,-2,12,10,98,7,,,,,0.65,,,,,,,,0.7
402,63.61204576,96.87052254,95.02953556,3,16,14,71.44,88.68,97.4,0.451330304,1.43E-01,0.1711651252,5,4,5,-2,12,9,98,7,,,,,0.65,,,,,,,,0.7
408,63.13696715,96.93682587,95.14426818,3,16,14,73.76,106.24,114.2,0.5388975733,1.59E-01,0.1924783076,5,5,6,-2,11,8,98,7,,,,,0.65,,,,,,,,0.7
414,63.50990832,97.03187019,95.28170579,3,16,14,71,121.28,128.44,0.7871968826,2.45E-01,0.2360042402,5,6,6,-2,10,8,98,7,,,,,0.65,,,,,,,,0.7
420,63.77434666,97.1037224,95.40404923,3,16,14,66.28,132.5210465,136.88,0.7832136242,2.49E-01,0.2770344085,5,6,7,-2,10,7,98,7,,,,,0.65,,,,,,,,0.7
426,63.80496428,97.17437653,95.51754397,3,16,14,65.6,140.92,143.36,0.5510163436,2.77E-01,0.2636426356,5,7,7,-2,9,7,98,7,,,,,0.65,,,,,,,,0.7
432,63.81662088,97.23603129,95.61456339,3,16,14,65.2,143.12,145.12,0.7186927808,2.87E-01,0.2845936914,5,7,7,-2,9,7,98,7,,,,,0.65,,,,,,,,0.7
438,63.56758706,97.29445616,95.70733086,3,16,14,68.8,144.6,144.68,0.6417314471,2.61E-01,0.2714984765,5,7,7,-2,9,7,98,7,,,,,0.65,,,,,,,,0.7
444,63.71134915,97.37238641,95.82794603,3,16,14,66.28,143.32,142.52,0.7233751929,2.68E-01,0.2742073103,5,7,7,-2,9,7,98,7,,,,,0.65,,,,,,,,0.7
