,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
210,51.9065789,90.60297463,90.53290043,2,6,4,11.46312098,65.55015407,68.9,5.20E-01,0.3670629815,0.5729243579,1,3,4,1,3,0,97,7,93,2,0,recovery,0.65,,64.53878925,9,33.8,64.53878925,3,-6,0.75,,
216,52.64834073,91.24284509,90.98010759,1,6,4,11.2891449,68.275,71.075,3.35E-01,0.3660835523,0.4876701587,1,4,4,0,2,0,97,7,96,1,0,bendras,0.65,,64.62066306,9,17.72,64.62066306,2,-7,0.75,,
222,52.53771617,91.67899043,91.36031841,1,6,4,11.05486351,71.775,74.6,6.96E-01,0.4026663738,0.6101901578,1,4,4,0,2,0,97,7,6845.812029,183340.1087,184242.7886,,0.65,,64.43839527,9,6.72,64.43839527,1,-8,0.75,,
228,52.44892142,92.04877728,91.7295619,1,6,4,6.851712928,74.3,77.275,8.67E-01,0.4200593957,0.593085604,1,4,4,0,2,0,97,7,2063.604084,29188.57828,29749.00023,,0.65,,64.41178796,9,0.36,64.41178796,1,-8,0.75,,
234,53.0702948,92.41837956,92.26924954,1,6,4,6.075,77,80.95,7.19E-01,0.4041601757,0.6420076237,1,4,4,0,2,0,97,7,8909.416113,212317.512,213771.1139,,0.65,,64.30029193,9,0,64.30029193,0,-9,0.75,,
240,53.06374555,92.77582955,92.57498987,2,6,4,4.857142857,79.775,84.1,3.91E-01,0.4551288674,0.6831015719,1,4,4,1,2,0,97,7,21.25,0.94,2.17,,0.65,,64.30723001,9,0,64.30723001,0,-9,0.75,,
246,52.27760486,93.24531841,92.89499349,1,6,4,3.135228148,83.525,86.4,4.80E-02,0.4360158216,0.7092496113,1,4,4,0,2,0,97,7,14.85714286,1.030612245,1.76,,0.65,,64.60626218,9,2.16,64.60626218,1,-8,0.75,,
252,51.13389722,93.54239836,93.19411524,1,6,4,2.266666667,86.65,90.3,4.51E-02,0.4687983212,0.6795664816,1,4,4,0,2,0,97,7,22,0.9595959596,2.11,,0.65,,68.93046332,9,29.52,68.93046332,2,-7,0.75,,
258,51.1507895,93.808045,93.353281,2,6,4,2.19504,89.275,92.3,5.22E-01,0.4746459916,0.6871312861,1,4,4,1,2,0,97,7,,,,,0.65,,73.87072673,9,71.84,73.87072673,5,-4,0.75,,
264,51.44975701,94.08295058,93.47249258,2,5,4,3.415728821,92.7,95.2,7.10E-01,0.5458832529,0.7920283123,1,4,5,1,1,-1,97,7,,,,,0.65,,75.85668015,9,87.68,75.85668015,6,-3,0.75,,
